Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1475614800.0 1.0 47 66 119 NA NA NA NA 93 134 168 NA NA NA NA 3087 333 367 NA NA NA NA 3465 399 555 NA NA NA NA
1475614800.0 10.0 NA 86 193 0 NA NA NA NA 152 253 0 NA NA NA NA 1707 1676 500 NA NA NA NA 1775 1716 514 NA NA NA
1475614800.0 1000.0 NA 216 115 0 39 NA NA NA 276 174 0 79 NA NA NA 1687 364 391 98 NA NA NA 2042 617 424 414 NA NA
1475614800.0 1001.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1475614800.0 1002.0 NA 200 58 NA NA NA NA NA 263 98 NA NA NA NA NA 2362 176 NA NA NA NA NA 2648 221 NA NA NA NA
1475614800.0 10021.0 NA 153 212 0 NA NA NA NA 227 274 0 NA NA NA NA 604 1046 642 NA NA NA NA 756 1295 671 NA NA NA
1475614800.0 10023.0 NA 151 217 0 NA NA NA NA 227 274 0 NA NA NA NA 468 925 591 NA NA NA NA 1668 1943 729 NA NA NA
1475614800.0 10024.0 NA 158 217 0 NA NA NA NA 227 277 0 NA NA NA NA 546 1165 683 NA NA NA NA 759 1530 732 NA NA NA
1475614800.0 10024.1 NA 155 139 0 NA NA NA NA 227 185 0 NA NA NA NA 814 685 454 NA NA NA NA 1429 1051 470 NA NA NA
1475614800.0 10024.2 NA 155 220 0 NA NA NA NA 227 280 0 NA NA NA NA 558 1095 700 NA NA NA NA 696 1334 722 NA NA NA
1475614800.0 10024.3 NA 158 134 0 NA NA NA NA 227 203 0 NA NA NA NA 554 496 313 NA NA NA NA 706 746 323 NA NA NA
1475614800.0 10024.4 NA 156 218 0 NA NA NA NA 227 277 0 NA NA NA NA 563 1095 611 NA NA NA NA 1642 5698 675 NA NA NA
1475614800.0 10024.5 NA 158 130 0 NA NA NA NA 227 203 0 NA NA NA NA 795 623 433 NA NA NA NA 913 922 451 NA NA NA
1475614800.0 10025.0 NA 157 215 0 NA NA NA NA 227 278 0 NA NA NA NA 475 999 614 NA NA NA NA 618 1258 694 NA NA NA
1475614800.0 10026.0 NA 157 215 0 NA NA NA NA 227 280 0 NA NA NA NA 568 1524 620 NA NA NA NA 801 1808 651 NA NA NA
1475614800.0 1003.0 NA 176 0 NA NA NA NA NA 234 0 NA NA NA NA NA 3360 360 NA NA NA NA NA 8780 403 NA NA NA NA
1475614800.0 1004.0 NA 178 130 0 0 0 0 NA 241 179 0 0 0 0 NA 592 217 7 90 575 525 NA 749 246 32 100 598 585
1475614800.0 101.0 80 NA NA NA NA NA NA 141 NA NA NA NA NA NA 2040 NA NA NA NA NA NA 2126 NA NA NA NA NA NA
1475614800.0 102.0 81 NA NA NA NA NA NA 141 NA NA NA NA NA NA 1391 NA NA NA NA NA NA 1453 NA NA NA NA NA NA
1475614800.0 10224.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1475614800.0 10225.0 NA 197 291 0 NA NA NA NA 268 387 0 NA NA NA NA 1971 2922 516 NA NA NA NA 2685 3312 529 NA NA NA
1475614800.0 103.0 34 0 0 NA NA NA NA 75 0 0 NA NA NA NA 634 128 263 NA NA NA NA 651 141 297 NA NA NA NA
1475614800.0 10424.0 56 156 214 0 NA NA NA 100 222 273 0 NA NA NA 4099 522 900 575 NA NA NA 4253 638 1177 592 NA NA NA
1475614800.0 105.0 46 75 27 NA NA NA NA 93 142 56 NA NA NA NA 3318 595 4 NA NA NA NA 3719 690 7 NA NA NA NA
1475614800.0 10624.0 56 158 221 0 NA NA NA 100 222 278 0 NA NA NA 9271 1382 2286 1387 NA NA NA 9712 1589 2478 1422 NA NA NA
1475614800.0 107.0 50 84 189 NA NA NA NA 94 142 248 NA NA NA NA 6289 568 770 NA NA NA NA 6439 602 812 NA NA NA NA
1475614800.0 108.0 50 77 187 NA NA NA NA 96 142 249 NA NA NA NA 5316 289 433 NA NA NA NA 5440 311 455 NA NA NA NA
1475614800.0 10824.0 57 163 220 0 NA NA NA 100 222 281 0 NA NA NA 10066 1541 2315 1247 NA NA NA 10421 1632 2451 1273 NA NA NA
1475614800.0 109.0 52 88 200 NA NA NA NA 97 142 249 NA NA NA NA 6492 350 518 NA NA NA NA 6706 382 603 NA NA NA NA
1475614800.0 11.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1475614800.0 110.0 42 79 183 NA NA NA NA 86 142 248 NA NA NA NA 981 544 641 NA NA NA NA 1006 560 685 NA NA NA NA
1475614800.0 1102.0 NA 86 193 99 64 NA NA NA 151 257 152 112 NA NA NA 2210 2827 1521 138 NA NA NA 2276 4673 1697 149 NA NA
1475614800.0 111.0 53 74 186 NA NA NA NA 94 142 249 NA NA NA NA 3195 293 528 NA NA NA NA 5714 485 790 NA NA NA NA
1475614800.0 112.0 47 79 186 NA NA NA NA 94 142 249 NA NA NA NA 7075 911 885 NA NA NA NA 7356 932 985 NA NA NA NA
1475614800.0 113.0 50 74 186 NA NA NA NA 97 142 249 NA NA NA NA 4897 306 361 NA NA NA NA 5067 328 382 NA NA NA NA
1475614800.0 114.0 50 77 187 NA NA NA NA 96 143 249 NA NA NA NA 4681 300 366 NA NA NA NA 4748 318 394 NA NA NA NA
1475614800.0 115.0 50 75 188 NA NA NA NA 97 142 249 NA NA NA NA 6292 400 539 NA NA NA NA 6481 418 573 NA NA NA NA
1475614800.0 116.0 50 77 188 NA NA NA NA 96 142 249 NA NA NA NA 5009 277 378 NA NA NA NA 5091 295 407 NA NA NA NA
1475614800.0 117.0 49 79 196 NA NA NA NA 96 142 249 NA NA NA NA 7703 365 546 NA NA NA NA 8702 470 591 NA NA NA NA
1475614800.0 118.0 52 77 191 NA NA NA NA 97 142 249 NA NA NA NA 7718 399 586 NA NA NA NA 8331 457 701 NA NA NA NA
1475614800.0 119.0 50 82 197 NA NA NA NA 94 142 249 NA NA NA NA 5580 572 718 NA NA NA NA 5711 590 730 NA NA NA NA
1475614800.0 12.0 NA 84 191 0 NA NA NA NA 151 257 0 NA NA NA NA 1539 1605 536 NA NA NA NA 1583 1941 558 NA NA NA
1475614800.0 120.0 42 71 185 NA NA NA NA 85 142 248 NA NA NA NA 817 532 579 NA NA NA NA 860 561 608 NA NA NA NA
1475614800.0 121.0 50 83 193 NA NA NA NA 98 142 249 NA NA NA NA 6994 377 603 NA NA NA NA 7510 433 627 NA NA NA NA
1475614800.0 122.0 44 74 183 NA NA NA NA 92 142 248 NA NA NA NA 1149 289 577 NA NA NA NA 1193 311 610 NA NA NA NA
1475614800.0 123.1 179 NA NA NA NA NA NA 243 NA NA NA NA NA NA 1002 NA NA NA NA NA NA 1061 NA NA NA NA NA NA
1475614800.0 123.2 179 NA NA NA NA NA NA 246 NA NA NA NA NA NA 1156 NA NA NA NA NA NA 1199 NA NA NA NA NA NA
1475614800.0 123.3 167 NA NA NA NA NA NA 230 NA NA NA NA NA NA 749 NA NA NA NA NA NA 788 NA NA NA NA NA NA
1475614800.0 124.1 171 NA NA NA NA NA NA 235 NA NA NA NA NA NA 758 NA NA NA NA NA NA 822 NA NA NA NA NA NA
1475614800.0 124.2 181 NA NA NA NA NA NA 243 NA NA NA NA NA NA 968 NA NA NA NA NA NA 1012 NA NA NA NA NA NA
1475614800.0 124.4 175 NA NA NA NA NA NA 236 NA NA NA NA NA NA 666 NA NA NA NA NA NA 694 NA NA NA NA NA NA
1475614800.0 124.5 175 NA NA NA NA NA NA 236 NA NA NA NA NA NA 760 NA NA NA NA NA NA 903 NA NA NA NA NA NA
1475614800.0 124.6 164 NA NA NA NA NA NA 230 NA NA NA NA NA NA 749 NA NA NA NA NA NA 904 NA NA NA NA NA NA
1475614800.0 125.0 48 74 187 NA NA NA NA 94 142 249 NA NA NA NA 7277 652 695 NA NA NA NA 7378 714 734 NA NA NA NA
1475614800.0 126.0 42 76 186 NA NA NA NA 87 142 248 NA NA NA NA 1556 338 445 NA NA NA NA 1594 424 601 NA NA NA NA
1475614800.0 127.0 41 73 184 NA NA NA NA 86 142 248 NA NA NA NA 1658 345 442 NA NA NA NA 1763 381 593 NA NA NA NA
1475614800.0 128.0 40 72 181 NA NA NA NA 80 142 248 NA NA NA NA 763 533 616 NA NA NA NA 777 555 763 NA NA NA NA
1475614800.0 129.0 39 81 182 NA NA NA NA 81 142 248 NA NA NA NA 784 559 629 NA NA NA NA 802 577 692 NA NA NA NA
1475614800.0 13.0 NA 86 190 0 NA NA NA NA 151 251 0 NA NA NA NA 289 1005 566 NA NA NA NA 361 1129 633 NA NA NA
1475614800.0 130.0 41 71 183 NA NA NA NA 85 142 248 NA NA NA NA 948 521 578 NA NA NA NA 976 550 614 NA NA NA NA
1475614800.0 1301.0 53 201 158 NA NA NA NA 96 253 210 NA NA NA NA 1622 926 739 NA NA NA NA 1774 1249 849 NA NA NA NA
