Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475744400.0 1.0 53 72 134 NA NA NA NA NA 98 147 184 NA NA NA NA NA 3408 521 1074 NA NA NA NA NA 3557 549 1135 NA NA NA NA NA
1475744400.0 10.0 NA 83 193 0 NA NA NA NA NA 151 256 0 NA NA NA NA NA 1684 1814 490 NA NA NA NA NA 1756 2054 503 NA NA NA NA
1475744400.0 1000.0 NA 213 134 0 41 NA NA NA NA 285 182 0 79 NA NA NA NA 4291 788 790 302 NA NA NA NA 4353 854 822 332 NA NA NA
1475744400.0 1001.0 NA 192 171 0 0 0 0 0 NA 252 217 0 0 0 0 0 NA 3090 647 8 79 853 72 928 NA 3392 673 11 81 861 79 933
1475744400.0 1002.0 NA 213 69 NA NA NA NA NA NA 276 100 NA NA NA NA NA NA 2089 125 NA NA NA NA NA NA 2131 138 NA NA NA NA NA
1475744400.0 1003.0 NA 178 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 2713 280 NA NA NA NA NA NA 2754 294 NA NA NA NA NA
1475744400.0 1004.0 NA 178 138 0 0 0 0 NA NA 240 179 0 0 0 0 NA NA 422 199 4 45 330 292 NA NA 600 331 81 57 376 300 NA
1475744400.0 105.0 53 77 24 NA NA NA NA NA 98 149 54 NA NA NA NA NA 2401 274 2 NA NA NA NA NA 2562 298 88 NA NA NA NA NA
1475744400.0 107.0 54 89 188 NA NA NA NA NA 99 149 253 NA NA NA NA NA 6915 594 803 NA NA NA NA NA 6990 617 847 NA NA NA NA NA
1475744400.0 108.0 55 89 196 NA NA NA NA NA 102 149 253 NA NA NA NA NA 9136 665 907 NA NA NA NA NA 10532 743 974 NA NA NA NA NA
1475744400.0 109.0 58 87 192 NA NA NA NA NA 101 149 253 NA NA NA NA NA 9922 691 1024 NA NA NA NA NA 10290 758 1880 NA NA NA NA NA
