Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1476659426,NA,16231,0,11,0,7,davidlange6,NNNNNNNNNNNNNNNNN,1476681110,-
1476677654,NA,16232,0,1,0,1,smuzaffar,NNNNNNNNNNNNNNNNN,1476677678,-
