Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475701200.0 1.0 48 66 119 NA NA NA NA NA 92 134 168 NA NA NA NA NA 2638 343 364 NA NA NA NA NA 2765 379 417 NA NA NA NA NA
1475701200.0 10.0 NA 88 189 0 NA NA NA NA NA 151 253 0 NA NA NA NA NA 2321 2288 630 NA NA NA NA NA 2479 2437 662 NA NA NA NA
1475701200.0 1000.0 NA 209 115 0 43 NA NA NA NA 275 173 0 78 NA NA NA NA 2177 476 578 132 NA NA NA NA 2511 614 621 247 NA NA NA
1475701200.0 1001.0 NA 190 168 0 0 0 0 0 NA 251 214 0 0 0 0 0 NA 2859 676 9 77 915 33 943 NA 3163 777 71 80 934 53 960
1475701200.0 1002.0 NA 198 58 NA NA NA NA NA NA 263 98 NA NA NA NA NA NA 2214 158 NA NA NA NA NA NA 2384 175 NA NA NA NA NA
1475701200.0 10021.0 NA 159 209 0 NA NA NA NA NA 227 273 0 NA NA NA NA NA 492 1063 555 NA NA NA NA NA 578 1193 580 NA NA NA NA
1475701200.0 10023.0 NA 152 210 0 NA NA NA NA NA 227 273 0 NA NA NA NA NA 418 761 561 NA NA NA NA NA 730 827 582 NA NA NA NA
1475701200.0 10024.0 NA 164 218 0 NA NA NA NA NA 227 278 0 NA NA NA NA NA 488 1029 604 NA NA NA NA NA 564 1210 651 NA NA NA NA
1475701200.0 10024.1 NA 157 137 0 NA NA NA NA NA 227 184 0 NA NA NA NA NA 547 501 345 NA NA NA NA NA 653 926 369 NA NA NA NA
1475701200.0 10024.2 NA 165 213 0 NA NA NA NA NA 227 289 0 NA NA NA NA NA 489 1045 592 NA NA NA NA NA 563 1149 617 NA NA NA NA
1475701200.0 10024.4 NA 166 217 0 NA NA NA NA NA 227 276 0 NA NA NA NA NA 479 992 577 NA NA NA NA NA 531 1091 604 NA NA NA NA
1475701200.0 10024.5 NA 158 136 0 NA NA NA NA NA 227 203 0 NA NA NA NA NA 508 443 336 NA NA NA NA NA 572 539 366 NA NA NA NA
1475701200.0 10025.0 NA 161 217 0 NA NA NA NA NA 227 275 0 NA NA NA NA NA 448 865 589 NA NA NA NA NA 500 931 611 NA NA NA NA
1475701200.0 10026.0 NA 158 214 0 NA NA NA NA NA 227 277 0 NA NA NA NA NA 505 1385 637 NA NA NA NA NA 589 1492 658 NA NA NA NA
1475701200.0 1003.0 NA 172 0 NA NA NA NA NA NA 234 0 NA NA NA NA NA NA 3159 347 NA NA NA NA NA NA 3372 372 NA NA NA NA NA
1475701200.0 1004.0 NA 180 134 0 0 0 0 NA NA 240 179 0 0 0 0 NA NA 564 289 6 59 496 488 NA NA 661 331 15 65 508 507 NA
1475701200.0 101.0 80 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 1211 NA NA NA NA NA NA NA 1252 NA NA NA NA NA NA NA
1475701200.0 102.0 81 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 888 NA NA NA NA NA NA NA 958 NA NA NA NA NA NA NA
1475701200.0 10224.0 NA 198 293 0 NA NA NA NA NA 271 390 0 NA NA NA NA NA 2687 4347 649 NA NA NA NA NA 3464 11967 680 NA NA NA NA
1475701200.0 10225.0 NA 194 293 0 NA NA NA NA NA 265 387 0 NA NA NA NA NA 3865 5797 945 NA NA NA NA NA 4670 6340 975 NA NA NA NA
1475701200.0 103.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 415 89 179 NA NA NA NA NA 427 107 225 NA NA NA NA NA
1475701200.0 10424.0 57 149 216 0 NA NA NA NA 100 220 275 0 NA NA NA NA 5834 714 1228 825 NA NA NA NA 6370 1009 1380 859 NA NA NA NA
1475701200.0 105.0 47 75 27 NA NA NA NA NA 92 142 56 NA NA NA NA NA 2637 364 3 NA NA NA NA NA 2720 383 7 NA NA NA NA NA
1475701200.0 106.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 431 89 179 NA NA NA NA NA 479 107 225 NA NA NA NA NA
1475701200.0 10624.0 57 164 215 0 NA NA NA NA 99 222 278 0 NA NA NA NA 7583 1221 1993 1116 NA NA NA NA 8386 1563 2187 1148 NA NA NA NA
1475701200.0 107.0 49 85 186 NA NA NA NA NA 94 142 248 NA NA NA NA NA 5167 367 491 NA NA NA NA NA 5452 391 533 NA NA NA NA NA
1475701200.0 108.0 51 77 186 NA NA NA NA NA 97 143 249 NA NA NA NA NA 7413 425 623 NA NA NA NA NA 7559 470 662 NA NA NA NA NA
1475701200.0 10824.0 56 156 214 0 NA NA NA NA 99 221 281 0 NA NA NA NA 7603 1199 2072 1168 NA NA NA NA 7878 1681 2458 1212 NA NA NA NA
1475701200.0 109.0 50 76 186 NA NA NA NA NA 97 143 249 NA NA NA NA NA 6937 400 609 NA NA NA NA NA 7112 437 654 NA NA NA NA NA
1475701200.0 11.0 NA 84 200 0 51 NA NA NA NA 151 260 0 88 NA NA NA NA 3142 1354 924 38 NA NA NA NA 3206 1651 1027 88 NA NA NA
1475701200.0 110.0 39 82 185 NA NA NA NA NA 81 142 248 NA NA NA NA NA 649 349 394 NA NA NA NA NA 790 379 461 NA NA NA NA NA
