Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1475964000.0 128.0 57 91 350 NA NA NA NA 104 178 443 NA NA NA NA 1750 673 995 NA NA NA NA 917 504 950 NA NA NA NA
1475964000.0 129.0 60 89 368 NA NA NA NA 105 188 457 NA NA NA NA 1953 616 930 NA NA NA NA 984 442 881 NA NA NA NA
1475964000.0 13.0 NA 90 368 0 NA NA NA NA 220 461 0 NA NA NA NA 564 1764 643 NA NA NA NA 439 1036 801 NA NA NA
1475964000.0 130.0 63 84 353 NA NA NA NA 117 183 448 NA NA NA NA 794 282 432 NA NA NA NA 430 210 415 NA NA NA NA
1475964000.0 1301.0 87 180 205 NA NA NA NA 162 297 279 NA NA NA NA 3976 840 1372 NA NA NA NA 1891 660 1554 NA NA NA NA
1475964000.0 1302.0 101 201 210 NA NA NA NA 179 328 303 NA NA NA NA 6830 520 1337 NA NA NA NA 2277 351 1349 NA NA NA NA
1475964000.0 1303.0 105 211 227 NA NA NA NA 173 313 321 NA NA NA NA 9722 778 1593 NA NA NA NA 3264 433 1304 NA NA NA NA
1475964000.0 131.0 67 84 355 NA NA NA NA 123 181 436 NA NA NA NA 3285 679 1046 NA NA NA NA 1365 468 1039 NA NA NA NA
1475964000.0 1311.0 NA 204 444 0 73 NA NA NA 332 526 0 107 NA NA NA 397 1346 983 66 NA NA NA 318 1422 1018 101 NA NA
1475964000.0 132.0 84 99 371 NA NA NA NA 150 204 466 NA NA NA NA 8802 692 1178 NA NA NA NA 3017 447 921 NA NA NA NA
1475964000.0 1325.0 NA 223 460 0 88 NA NA NA 360 572 0 124 NA NA NA 577 1923 1015 118 NA NA NA 417 1788 1023 163 NA NA
1475964000.0 133.0 98 101 366 NA NA NA NA 164 215 457 NA NA NA NA 13908 805 1736 NA NA NA NA 5243 521 1281 NA NA NA NA
1475964000.0 134.701 NA 44 385 0 NA NA NA NA 91 484 0 NA NA NA NA 236 7249 515 NA NA NA NA 343 2934 525 NA NA NA
1475964000.0 134.702 NA 39 385 0 NA NA NA NA 94 486 0 NA NA NA NA 269 11023 560 NA NA NA NA 294 5339 577 NA NA NA
1475964000.0 134.703 NA 47 397 0 NA NA NA NA 92 502 0 NA NA NA NA 265 10658 566 NA NA NA NA 270 4354 586 NA NA NA
1475964000.0 134.704 NA 44 387 0 NA NA NA NA 90 488 0 NA NA NA NA 254 9081 501 NA NA NA NA 303 3322 512 NA NA NA
1475964000.0 134.705 NA 48 399 0 NA NA NA NA 92 502 0 NA NA NA NA 259 9964 529 NA NA NA NA 271 3694 539 NA NA NA
1475964000.0 134.706 NA 47 394 0 NA NA NA NA 92 500 0 NA NA NA NA 281 11564 577 NA NA NA NA 283 4321 589 NA NA NA
1475964000.0 134.707 NA 46 391 0 NA NA NA NA 92 479 0 NA NA NA NA 249 9091 503 NA NA NA NA 248 3315 515 NA NA NA
1475964000.0 134.708 NA 46 383 0 NA NA NA NA 95 484 0 NA NA NA NA 258 9751 596 NA NA NA NA 329 3991 612 NA NA NA
1475964000.0 134.709 NA 46 401 0 NA NA NA NA 91 512 0 NA NA NA NA 246 9440 552 NA NA NA NA 247 3414 562 NA NA NA
1475964000.0 134.71 NA 41 373 0 NA NA NA NA 86 474 0 NA NA NA NA 211 6116 510 NA NA NA NA 208 2683 528 NA NA NA
1475964000.0 134.801 NA 45 386 0 NA NA NA NA 89 480 0 NA NA NA NA 246 6608 472 NA NA NA NA 235 2946 481 NA NA NA
1475964000.0 134.802 NA 44 396 0 NA NA NA NA 92 496 0 NA NA NA NA 330 13892 521 NA NA NA NA 331 5500 538 NA NA NA
1475964000.0 134.803 NA 45 390 0 NA NA NA NA 92 489 0 NA NA NA NA 313 10664 495 NA NA NA NA 334 3720 507 NA NA NA
1475964000.0 134.804 NA 45 407 0 NA NA NA NA 96 513 0 NA NA NA NA 153 6247 260 NA NA NA NA 195 2318 270 NA NA NA
1475964000.0 134.805 NA 41 396 0 NA NA NA NA 96 505 0 NA NA NA NA 353 13178 532 NA NA NA NA 382 4505 547 NA NA NA
1475964000.0 134.806 NA 38 398 0 NA NA NA NA 90 521 0 NA NA NA NA 358 14645 572 NA NA NA NA 362 5137 589 NA NA NA
1475964000.0 134.807 NA 90 408 0 NA NA NA NA 161 542 0 NA NA NA NA 1001 9005 397 NA NA NA NA 2513 3600 405 NA NA NA
1475964000.0 134.808 NA 107 412 0 NA NA NA NA 161 534 0 NA NA NA NA 868 10520 392 NA NA NA NA 8242 3895 401 NA NA NA
1475964000.0 134.809 NA 44 385 0 NA NA NA NA 95 495 0 NA NA NA NA 154 5720 256 NA NA NA NA 181 2561 264 NA NA NA
1475964000.0 134.81 NA 37 389 0 NA NA NA NA 92 505 0 NA NA NA NA 339 13114 540 NA NA NA NA 403 5074 558 NA NA NA
1475964000.0 134.811 NA 46 392 0 NA NA NA NA 97 506 0 NA NA NA NA 339 13139 539 NA NA NA NA 432 4450 554 NA NA NA
1475964000.0 134.812 NA 37 380 0 NA NA NA NA 90 481 0 NA NA NA NA 262 6665 481 NA NA NA NA 302 2947 491 NA NA NA
1475964000.0 134.813 NA 182 72 0 NA NA NA NA 279 112 0 NA NA NA NA 602 68 81 NA NA NA NA 369 70 89 NA NA NA
1475964000.0 134.901 NA 36 387 0 NA NA NA NA 90 481 0 NA NA NA NA 243 6617 480 NA NA NA NA 239 2707 490 NA NA NA
1475964000.0 134.902 NA 45 385 0 NA NA NA NA 94 482 0 NA NA NA NA 281 8838 490 NA NA NA NA 354 3338 501 NA NA NA
1475964000.0 134.903 NA 47 379 0 NA NA NA NA 94 474 0 NA NA NA NA 309 9120 547 NA NA NA NA 294 3705 615 NA NA NA
1475964000.0 134.904 NA 45 386 0 NA NA NA NA 91 487 0 NA NA NA NA 299 10885 529 NA NA NA NA 355 4577 544 NA NA NA
1475964000.0 134.905 NA 46 388 0 NA NA NA NA 94 477 0 NA NA NA NA 272 7896 481 NA NA NA NA 274 3103 489 NA NA NA
1475964000.0 134.906 NA 46 379 0 NA NA NA NA 93 486 0 NA NA NA NA 297 9540 498 NA NA NA NA 350 3667 508 NA NA NA
1475964000.0 134.907 NA 90 394 0 NA NA NA NA 157 514 0 NA NA NA NA 552 4804 268 NA NA NA NA 4485 1995 276 NA NA NA
1475964000.0 134.908 NA 83 398 0 NA NA NA NA 159 516 0 NA NA NA NA 900 10425 567 NA NA NA NA 842 4921 586 NA NA NA
1475964000.0 134.909 NA 46 386 0 NA NA NA NA 93 474 0 NA NA NA NA 275 8435 504 NA NA NA NA 275 3165 519 NA NA NA
1475964000.0 134.91 NA 38 380 0 NA NA NA NA 94 480 0 NA NA NA NA 283 7581 499 NA NA NA NA 268 2918 507 NA NA NA
1475964000.0 134.911 NA 46 383 0 NA NA NA NA 94 478 0 NA NA NA NA 278 8140 508 NA NA NA NA 272 3425 521 NA NA NA
1475964000.0 134.912 NA 41 373 0 NA NA NA NA 87 474 0 NA NA NA NA 260 5983 504 NA NA NA NA 240 2582 515 NA NA NA
1475964000.0 134.99601 NA 46 392 0 NA NA NA NA 95 497 0 NA NA NA NA 339 14812 588 NA NA NA NA 332 5223 618 NA NA NA
1475964000.0 134.99602 NA 46 377 0 NA NA NA NA 93 485 0 NA NA NA NA 300 8260 582 NA NA NA NA 303 3228 603 NA NA NA
1475964000.0 134.99603 NA 38 383 0 NA NA NA NA 92 493 0 NA NA NA NA 339 11941 566 NA NA NA NA 374 4674 582 NA NA NA
1475964000.0 134.99901 NA 45 379 0 NA NA NA NA 95 474 0 NA NA NA NA 267 7865 494 NA NA NA NA 281 3351 640 NA NA NA
1475964000.0 135.1 416 0 118 NA NA NA NA 540 0 188 NA NA NA NA 845 185 193 NA NA NA NA 569 195 203 NA NA NA NA
1475964000.0 135.11 427 0 113 NA NA NA NA 555 0 190 NA NA NA NA 1173 188 299 NA NA NA NA 1437 210 259 NA NA NA NA
1475964000.0 135.12 410 0 115 NA NA NA NA 526 0 189 NA NA NA NA 738 177 228 NA NA NA NA 537 185 246 NA NA NA NA
1475964000.0 135.2 366 0 113 NA NA NA NA 485 0 176 NA NA NA NA 501 157 185 NA NA NA NA 556 167 273 NA NA NA NA
1475964000.0 135.3 369 0 119 NA NA NA NA 471 0 183 NA NA NA NA 496 152 451 NA NA NA NA 467 160 471 NA NA NA NA
1475964000.0 135.4 420 0 110 NA NA NA NA 522 0 186 NA NA NA NA 686 173 165 NA NA NA NA 621 191 180 NA NA NA NA
1475964000.0 135.5 411 0 121 NA NA NA NA 516 0 185 NA NA NA NA 690 178 175 NA NA NA NA 531 188 213 NA NA NA NA
1475964000.0 135.6 416 0 119 NA NA NA NA 543 0 188 NA NA NA NA 1094 194 233 NA NA NA NA 715 202 224 NA NA NA NA
1475964000.0 135.7 403 0 117 NA NA NA NA 534 0 184 NA NA NA NA 858 186 217 NA NA NA NA 853 216 271 NA NA NA NA
1475964000.0 135.8 158 NA NA NA NA NA NA 247 NA NA NA NA NA NA 235 NA NA NA NA NA NA 420 NA NA NA NA NA NA
1475964000.0 135.9 409 0 107 NA NA NA NA 510 0 178 NA NA NA NA 554 162 191 NA NA NA NA 743 169 224 NA NA NA NA
