Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476568800.0 115.0 61 90 190 NA NA 100 148 252 NA NA 3278 275 353 NA NA 3489 289 374 NA NA
1476568800.0 118.0 56 80 201 NA NA 100 148 252 NA NA 2960 273 390 NA NA 3135 347 436 NA NA
1476568800.0 1302.0 64 151 173 NA NA 111 211 235 NA NA 9317 652 2142 NA NA 9922 2774 2427 NA NA
1476568800.0 1303.0 64 156 185 NA NA 112 211 241 NA NA 10863 953 2620 NA NA 11993 1363 3071 NA NA
1476568800.0 134.706 NA 45 233 0 NA NA 85 309 0 NA NA 134 4415 337 NA NA 174 5669 365 NA
1476568800.0 134.803 NA 38 229 0 NA NA 86 309 0 NA NA 160 4645 318 NA NA 262 5866 350 NA
1476568800.0 134.904 NA 37 228 0 NA NA 85 298 0 NA NA 149 4175 316 NA NA 245 5469 669 NA
1476568800.0 135.1 238 0 109 NA NA 313 0 152 NA NA 651 195 260 NA NA 956 213 298 NA NA
1476568800.0 135.11 244 0 109 NA NA 318 0 160 NA NA 793 205 308 NA NA 3072 212 640 NA NA
1476568800.0 135.2 222 0 106 NA NA 290 0 156 NA NA 396 165 216 NA NA 676 184 246 NA NA
1476568800.0 135.7 234 0 111 NA NA 309 0 155 NA NA 502 182 232 NA NA 793 204 264 NA NA
1476568800.0 135.9 234 0 110 NA NA 310 0 156 NA NA 491 186 227 NA NA 772 196 254 NA NA
1476568800.0 1356.0 63 173 250 0 114 109 231 327 0 166 7837 641 2500 1571 611 8370 717 3190 1643 738
1476568800.0 136.721 NA 182 245 0 NA NA 245 322 0 NA NA 3858 8165 846 NA NA 4265 10728 933 NA
1476568800.0 136.723 NA 181 244 0 NA NA 252 324 0 NA NA 4564 8727 961 NA NA 5046 10921 1009 NA
1476568800.0 136.724 NA 184 253 0 NA NA 252 338 0 NA NA 6537 10289 675 NA NA 6959 13525 690 NA
1476568800.0 136.725 NA 183 247 0 NA NA 246 326 0 NA NA 4409 8773 944 NA NA 4830 11210 984 NA
1476568800.0 136.726 NA 185 244 0 NA NA 249 334 0 NA NA 4976 9266 800 NA NA 5385 12066 1027 NA
1476568800.0 136.727 NA 208 253 0 NA NA 300 340 0 NA NA 4502 8750 927 NA NA 4997 11368 970 NA
1476568800.0 136.728 NA 213 255 0 NA NA 296 338 0 NA NA 4902 9354 824 NA NA 5488 11876 1034 NA
1476568800.0 136.729 NA 180 244 0 NA NA 245 322 0 NA NA 4235 9137 915 NA NA 4656 11869 939 NA
1476568800.0 136.73 NA 187 276 0 NA NA 245 376 0 NA NA 4592 9210 908 NA NA 5011 11725 960 NA
1476568800.0 136.731 NA 188 245 0 NA NA 252 325 0 NA NA 4696 9251 884 NA NA 5126 11855 986 NA
1476568800.0 136.734 NA 184 245 0 NA NA 247 336 0 NA NA 4586 9048 937 NA NA 5003 11385 970 NA
1476568800.0 1362.0 64 168 242 0 NA 159 226 311 0 NA 5787 582 1492 1549 NA 8065 732 2110 1769 NA
1476568800.0 1363.0 65 168 250 0 NA 159 230 315 0 NA 7699 636 1604 1548 NA 10093 2245 1873 1607 NA
1476568800.0 13992501.0 NA 222 316 0 NA NA 292 412 0 NA NA 3412 4710 1516 NA NA 6419 9378 1728 NA
1476568800.0 13992502.0 NA 227 318 0 NA NA 297 419 0 NA NA 3467 4321 1573 NA NA 4177 8575 1764 NA
1476568800.0 250402.0 248 0 111 NA NA 330 0 157 NA NA 1000 196 369 NA NA 3536 205 415 NA NA
1476568800.0 250407.0 231 0 120 NA NA 308 0 158 NA NA 660 156 300 NA NA 792 210 392 NA NA
1476568800.0 25210.0 67 214 321 0 NA 159 292 410 0 NA 5683 2236 3488 1235 NA 7486 5866 5709 1266 NA
1476568800.0 25403.0 271 0 109 NA NA 376 0 158 NA NA 3025 355 775 NA NA 9300 377 1005 NA NA
1476568800.0 4.41 NA 40 229 0 NA NA 78 285 0 NA NA 116 3449 301 NA NA 154 3499 332 NA
1476568800.0 4.45 NA 41 224 0 NA NA 78 299 0 NA NA 125 4605 314 NA NA 191 5606 668 NA
1476568800.0 4.68 NA 49 224 0 NA NA 86 297 0 NA NA 111 4252 311 NA NA 126 5200 398 NA
1476568800.0 4.76 NA 57 227 0 NA NA 90 297 0 NA NA 115 4539 321 NA NA 210 4996 355 NA
1476568800.0 515.0 15 36 0 NA NA 132 66 0 NA NA 10 40 14 NA NA 3935 53 22 NA NA
1476568800.0 526.0 15 36 0 NA NA 131 65 0 NA NA 6 25 9 NA NA 3215 44 17 NA NA
1476568800.0 529.0 15 36 0 NA NA 133 66 0 NA NA 8 24 12 NA NA 3435 38 21 NA NA
