Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475226000.0 1.0 71 77 133 NA NA NA NA NA 144 200 208 NA NA NA NA NA 3271 461 294 NA NA NA NA NA 1398 292 269 NA NA NA NA NA
1475226000.0 10.0 NA 107 380 0 NA NA NA NA NA 239 466 0 NA NA NA NA NA 2571 2175 383 NA NA NA NA NA 819 895 392 NA NA NA NA
1475226000.0 1000.0 NA 354 117 0 40 NA NA NA NA 456 187 0 83 NA NA NA NA 3692 1131 409 157 NA NA NA NA 1756 524 416 148 NA NA NA
1475226000.0 1001.0 NA 334 201 0 0 0 0 0 NA 419 249 0 0 0 0 0 NA 4083 649 9 49 790 35 786 NA 1887 499 11 53 792 38 794
1475226000.0 1002.0 NA 326 68 NA NA NA NA NA NA 418 105 NA NA NA NA NA NA 2348 387 NA NA NA NA NA NA 1058 123 NA NA NA NA NA
1475226000.0 10021.0 NA 172 368 0 NA NA NA NA NA 293 500 0 NA NA NA NA NA 1383 2842 814 NA NA NA NA NA 1154 2411 987 NA NA NA NA
1475226000.0 10023.0 NA 176 361 0 NA NA NA NA NA 299 501 0 NA NA NA NA NA 969 2505 795 NA NA NA NA NA 756 2443 847 NA NA NA NA
1475226000.0 10024.0 NA 178 378 0 NA NA NA NA NA 295 517 0 NA NA NA NA NA 1224 3012 711 NA NA NA NA NA 717 2558 738 NA NA NA NA
1475226000.0 10024.1 NA 187 238 0 NA NA NA NA NA 266 329 0 NA NA NA NA NA 697 504 261 NA NA NA NA NA 448 425 271 NA NA NA NA
1475226000.0 10024.2 NA 190 373 0 NA NA NA NA NA 296 507 0 NA NA NA NA NA 1141 3144 738 NA NA NA NA NA 701 2681 751 NA NA NA NA
1475226000.0 10024.3 NA 178 226 0 NA NA NA NA NA 285 307 0 NA NA NA NA NA 700 493 241 NA NA NA NA NA 446 429 261 NA NA NA NA
1475226000.0 10024.4 NA 187 371 0 NA NA NA NA NA 301 484 0 NA NA NA NA NA 1347 2950 720 NA NA NA NA NA 1098 2561 729 NA NA NA NA
1475226000.0 10024.5 NA 178 215 0 NA NA NA NA NA 286 301 0 NA NA NA NA NA 737 458 239 NA NA NA NA NA 450 388 248 NA NA NA NA
1475226000.0 10025.0 NA 175 370 0 NA NA NA NA NA 293 475 0 NA NA NA NA NA 1145 2670 807 NA NA NA NA NA 699 2380 817 NA NA NA NA
1475226000.0 10026.0 NA 189 381 0 NA NA NA NA NA 296 494 0 NA NA NA NA NA 1208 3411 860 NA NA NA NA NA 676 2616 886 NA NA NA NA
1475226000.0 1003.0 NA 282 0 NA NA NA NA NA NA 358 0 NA NA NA NA NA NA 3179 277 NA NA NA NA NA NA 1226 290 NA NA NA NA NA
1475226000.0 1004.0 NA 376 135 0 0 0 0 NA NA 458 180 0 0 0 0 NA NA 778 145 6 25 429 399 NA NA 602 189 30 54 438 403 NA
1475226000.0 101.0 110 NA NA NA NA NA NA NA 168 NA NA NA NA NA NA NA 586 NA NA NA NA NA NA NA 631 NA NA NA NA NA NA NA
1475226000.0 102.0 110 NA NA NA NA NA NA NA 169 NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA 631 NA NA NA NA NA NA NA
1475226000.0 10224.0 NA 291 624 0 NA NA NA NA NA 410 786 0 NA NA NA NA NA 2966 5393 505 NA NA NA NA NA 1391 2736 537 NA NA NA NA
1475226000.0 10225.0 NA 274 612 0 NA NA NA NA NA 372 773 0 NA NA NA NA NA 2502 3508 369 NA NA NA NA NA 1699 2306 384 NA NA NA NA
1475226000.0 103.0 38 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 432 178 378 NA NA NA NA NA 433 188 392 NA NA NA NA NA
1475226000.0 10424.0 93 175 377 0 NA NA NA NA 172 286 485 0 NA NA NA NA 7623 689 1458 478 NA NA NA NA 2765 499 1266 490 NA NA NA NA
1475226000.0 105.0 74 86 27 NA NA NA NA NA 148 191 59 NA NA NA NA NA 3342 490 3 NA NA NA NA NA 1496 304 6 NA NA NA NA NA
1475226000.0 106.0 34 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 429 151 422 NA NA NA NA NA 435 158 440 NA NA NA NA NA
1475226000.0 10624.0 95 189 391 0 NA NA NA NA 167 275 528 0 NA NA NA NA 10781 1073 2388 628 NA NA NA NA 3514 755 1887 645 NA NA NA NA
1475226000.0 107.0 76 99 368 NA NA NA NA NA 166 193 462 NA NA NA NA NA 8608 733 705 NA NA NA NA NA 2707 460 573 NA NA NA NA NA
1475226000.0 108.0 87 103 367 NA NA NA NA NA 167 191 462 NA NA NA NA NA 8670 796 915 NA NA NA NA NA 2991 445 684 NA NA NA NA NA
1475226000.0 10824.0 98 185 388 0 NA NA NA NA 162 283 522 0 NA NA NA NA 10634 1039 2203 661 NA NA NA NA 3553 708 2087 676 NA NA NA NA
1475226000.0 109.0 81 103 376 NA NA NA NA NA 166 199 476 NA NA NA NA NA 11254 1022 1308 NA NA NA NA NA 4177 626 973 NA NA NA NA NA
1475226000.0 11.0 NA 96 409 0 61 NA NA NA NA 231 501 0 96 NA NA NA NA 2169 1238 559 30 NA NA NA NA 742 758 562 33 NA NA NA
1475226000.0 110.0 56 85 367 NA NA NA NA NA 99 189 471 NA NA NA NA NA 868 479 587 NA NA NA NA NA 572 300 537 NA NA NA NA NA
1475226000.0 1102.0 NA 103 383 114 63 NA NA NA NA 232 465 178 114 NA NA NA NA 3086 4569 1991 304 NA NA NA NA 970 2080 703 97 NA NA NA
1475226000.0 111.0 77 93 372 NA NA NA NA NA 155 195 464 NA NA NA NA NA 2656 357 557 NA NA NA NA NA 1096 240 623 NA NA NA NA NA
1475226000.0 112.0 78 92 360 NA NA NA NA NA 163 199 459 NA NA NA NA NA 4184 461 533 NA NA NA NA NA 1429 310 443 NA NA NA NA NA
1475226000.0 113.0 82 99 360 NA NA NA NA NA 158 220 454 NA NA NA NA NA 4668 395 542 NA NA NA NA NA 1616 272 448 NA NA NA NA NA
1475226000.0 114.0 70 91 382 NA NA NA NA NA 158 198 467 NA NA NA NA NA 5039 426 536 NA NA NA NA NA 1649 245 502 NA NA NA NA NA
1475226000.0 115.0 77 93 378 NA NA NA NA NA 159 221 472 NA NA NA NA NA 4599 431 565 NA NA NA NA NA 1517 249 470 NA NA NA NA NA
1475226000.0 116.0 74 93 361 NA NA NA NA NA 158 215 447 NA NA NA NA NA 7611 749 753 NA NA NA NA NA 2739 422 599 NA NA NA NA NA
1475226000.0 117.0 79 93 365 NA NA NA NA NA 161 216 445 NA NA NA NA NA 8218 814 756 NA NA NA NA NA 2716 462 563 NA NA NA NA NA
1475226000.0 118.0 79 103 373 NA NA NA NA NA 162 208 453 NA NA NA NA NA 10041 984 1234 NA NA NA NA NA 3309 547 930 NA NA NA NA NA
1475226000.0 119.0 75 97 361 NA NA NA NA NA 158 213 459 NA NA NA NA NA 3765 390 522 NA NA NA NA NA 1342 232 474 NA NA NA NA NA
1475226000.0 12.0 NA 101 370 0 NA NA NA NA NA 227 457 0 NA NA NA NA NA 1935 1915 373 NA NA NA NA NA 643 904 411 NA NA NA NA
1475226000.0 120.0 61 84 363 NA NA NA NA NA 110 191 450 NA NA NA NA NA 724 468 582 NA NA NA NA NA 514 291 536 NA NA NA NA NA
1475226000.0 121.0 76 94 377 NA NA NA NA NA 167 222 460 NA NA NA NA NA 8226 641 973 NA NA NA NA NA 2893 359 755 NA NA NA NA NA
1475226000.0 122.0 51 92 358 NA NA NA NA NA 108 176 437 NA NA NA NA NA 1409 306 532 NA NA NA NA NA 849 276 532 NA NA NA NA NA
1475226000.0 123.1 331 NA NA NA NA NA NA NA 460 NA NA NA NA NA NA NA 1191 NA NA NA NA NA NA NA 683 NA NA NA NA NA NA NA
1475226000.0 123.2 349 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 1066 NA NA NA NA NA NA NA 744 NA NA NA NA NA NA NA
1475226000.0 123.3 296 NA NA NA NA NA NA NA 422 NA NA NA NA NA NA NA 725 NA NA NA NA NA NA NA 525 NA NA NA NA NA NA NA
1475226000.0 124.1 331 NA NA NA NA NA NA NA 425 NA NA NA NA NA NA NA 820 NA NA NA NA NA NA NA 589 NA NA NA NA NA NA NA
1475226000.0 124.2 339 NA NA NA NA NA NA NA 469 NA NA NA NA NA NA NA 1169 NA NA NA NA NA NA NA 756 NA NA NA NA NA NA NA
1475226000.0 124.4 325 NA NA NA NA NA NA NA 443 NA NA NA NA NA NA NA 774 NA NA NA NA NA NA NA 548 NA NA NA NA NA NA NA
1475226000.0 124.5 323 NA NA NA NA NA NA NA 443 NA NA NA NA NA NA NA 842 NA NA NA NA NA NA NA 608 NA NA NA NA NA NA NA
1475226000.0 124.6 297 NA NA NA NA NA NA NA 417 NA NA NA NA NA NA NA 758 NA NA NA NA NA NA NA 536 NA NA NA NA NA NA NA
1475226000.0 125.0 77 90 361 NA NA NA NA NA 159 208 445 NA NA NA NA NA 4276 406 516 NA NA NA NA NA 1440 242 454 NA NA NA NA NA
