Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1476176400.0 1.0 73 78 128 NA NA NA NA NA 147 199 218 NA NA NA NA NA 1990 362 233 NA NA NA NA NA 945 223 208 NA NA NA NA NA
1476176400.0 10.0 NA 106 373 0 NA NA NA NA NA 225 463 0 NA NA NA NA NA 2548 2508 453 NA NA NA NA NA 839 1053 467 NA NA NA NA
1476176400.0 1000.0 NA 367 129 0 44 NA NA NA NA 446 186 0 84 NA NA NA NA 2501 799 380 141 NA NA NA NA 1093 548 394 124 NA NA NA
1476176400.0 1001.0 NA 338 200 0 0 0 0 0 NA 435 246 0 0 0 0 0 NA 2210 395 5 26 418 22 413 NA 990 331 9 30 421 34 423
1476176400.0 1002.0 NA 330 60 NA NA NA NA NA NA 420 105 NA NA NA NA NA NA 3831 648 NA NA NA NA NA NA 1695 204 NA NA NA NA NA
1476176400.0 10021.0 NA 126 365 0 NA NA NA NA NA 251 476 0 NA NA NA NA NA 1326 2721 712 NA NA NA NA NA 744 2358 729 NA NA NA NA
1476176400.0 10023.0 NA 133 360 0 NA NA NA NA NA 258 508 0 NA NA NA NA NA 955 2273 680 NA NA NA NA NA 629 2222 687 NA NA NA NA
1476176400.0 10024.0 NA 139 382 0 NA NA NA NA NA 264 491 0 NA NA NA NA NA 1137 2885 758 NA NA NA NA NA 677 2475 872 NA NA NA NA
1476176400.0 10024.1 NA 143 239 0 NA NA NA NA NA 265 326 0 NA NA NA NA NA 1149 820 385 NA NA NA NA NA 672 680 395 NA NA NA NA
1476176400.0 10024.2 NA 136 383 0 NA NA NA NA NA 257 510 0 NA NA NA NA NA 711 1847 453 NA NA NA NA NA 468 1914 465 NA NA NA NA
1476176400.0 10024.3 NA 135 222 0 NA NA NA NA NA 261 309 0 NA NA NA NA NA 1147 793 361 NA NA NA NA NA 764 646 369 NA NA NA NA
1476176400.0 10024.4 NA 144 381 0 NA NA NA NA NA 261 478 0 NA NA NA NA NA 720 1779 451 NA NA NA NA NA 462 1788 476 NA NA NA NA
1476176400.0 10024.5 NA 135 219 0 NA NA NA NA NA 266 307 0 NA NA NA NA NA 1151 724 362 NA NA NA NA NA 697 624 373 NA NA NA NA
1476176400.0 10025.0 NA 141 378 0 NA NA NA NA NA 259 479 0 NA NA NA NA NA 681 1617 457 NA NA NA NA NA 452 1755 469 NA NA NA NA
1476176400.0 10026.0 NA 135 384 0 NA NA NA NA NA 261 496 0 NA NA NA NA NA 1193 3262 765 NA NA NA NA NA 696 2648 776 NA NA NA NA
1476176400.0 1003.0 NA 276 0 NA NA NA NA NA NA 363 0 NA NA NA NA NA NA 5299 381 NA NA NA NA NA NA 2025 394 NA NA NA NA NA
1476176400.0 1004.0 NA 366 136 0 0 0 0 NA NA 453 181 0 0 0 0 NA NA 1435 277 10 47 723 725 NA NA 1088 285 13 58 728 728 NA
1476176400.0 101.0 80 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 1003 NA NA NA NA NA NA NA 1026 NA NA NA NA NA NA NA
1476176400.0 102.0 82 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 717 NA NA NA NA NA NA NA 762 NA NA NA NA NA NA NA
1476176400.0 10224.0 NA 232 636 0 NA NA NA NA NA 401 798 0 NA NA NA NA NA 3462 5467 492 NA NA NA NA NA 1556 2698 503 NA NA NA NA
1476176400.0 10225.0 NA 241 609 0 NA NA NA NA NA 389 813 0 NA NA NA NA NA 2828 4577 477 NA NA NA NA NA 1289 2560 492 NA NA NA NA
1476176400.0 103.0 34 0 0 NA NA NA NA NA 80 0 0 NA NA NA NA NA 317 124 244 NA NA NA NA NA 327 131 257 NA NA NA NA NA
1476176400.0 10424.0 74 135 382 0 NA NA NA NA 124 225 512 0 NA NA NA NA 6718 922 2067 646 NA NA NA NA 2497 665 1823 664 NA NA NA NA
1476176400.0 105.0 72 88 27 NA NA NA NA NA 152 218 61 NA NA NA NA NA 2046 370 2 NA NA NA NA NA 944 233 5 NA NA NA NA NA
1476176400.0 106.0 34 0 0 NA NA NA NA NA 79 0 0 NA NA NA NA NA 311 110 260 NA NA NA NA NA 327 127 250 NA NA NA NA NA
1476176400.0 10624.0 75 150 396 0 NA NA NA NA 123 264 502 0 NA NA NA NA 7154 985 2154 641 NA NA NA NA 3220 703 2090 663 NA NA NA NA
1476176400.0 107.0 89 101 371 NA NA NA NA NA 168 208 459 NA NA NA NA NA 7866 525 732 NA NA NA NA NA 2730 324 698 NA NA NA NA NA
1476176400.0 108.0 90 99 381 NA NA NA NA NA 173 202 458 NA NA NA NA NA 7708 543 833 NA NA NA NA NA 3031 330 649 NA NA NA NA NA
1476176400.0 10824.0 76 141 391 0 NA NA NA NA 126 258 528 0 NA NA NA NA 10073 1655 3475 989 NA NA NA NA 3419 1070 2963 1010 NA NA NA NA
1476176400.0 109.0 83 106 371 NA NA NA NA NA 166 186 461 NA NA NA NA NA 10543 916 1298 NA NA NA NA NA 3905 480 948 NA NA NA NA NA
1476176400.0 11.0 NA 99 411 0 58 NA NA NA NA 207 502 0 96 NA NA NA NA 2015 1183 464 30 NA NA NA NA 692 771 478 32 NA NA NA
1476176400.0 110.0 52 90 360 NA NA NA NA NA 99 210 441 NA NA NA NA NA 1547 819 1020 NA NA NA NA NA 868 467 913 NA NA NA NA NA
1476176400.0 1102.0 NA 110 390 119 64 NA NA NA NA 234 465 182 114 NA NA NA NA 2707 3234 1861 321 NA NA NA NA 865 1706 626 104 NA NA NA
1476176400.0 111.0 77 94 376 NA NA NA NA NA 159 209 467 NA NA NA NA NA 4607 746 1154 NA NA NA NA NA 1848 468 960 NA NA NA NA NA
1476176400.0 112.0 86 93 370 NA NA NA NA NA 165 187 461 NA NA NA NA NA 7121 877 1185 NA NA NA NA NA 2695 505 984 NA NA NA NA NA
1476176400.0 113.0 79 92 377 NA NA NA NA NA 159 184 467 NA NA NA NA NA 7453 527 687 NA NA NA NA NA 2579 312 570 NA NA NA NA NA
1476176400.0 114.0 73 100 367 NA NA NA NA NA 175 202 454 NA NA NA NA NA 6978 529 719 NA NA NA NA NA 2349 310 596 NA NA NA NA NA
1476176400.0 115.0 86 104 377 NA NA NA NA NA 168 198 460 NA NA NA NA NA 6395 584 782 NA NA NA NA NA 2087 322 724 NA NA NA NA NA
1476176400.0 116.0 77 102 367 NA NA NA NA NA 164 186 451 NA NA NA NA NA 7542 523 726 NA NA NA NA NA 2800 340 589 NA NA NA NA NA
1476176400.0 117.0 82 103 384 NA NA NA NA NA 167 188 473 NA NA NA NA NA 7332 522 753 NA NA NA NA NA 2436 324 592 NA NA NA NA NA
1476176400.0 118.0 78 95 372 NA NA NA NA NA 160 186 453 NA NA NA NA NA 8124 579 809 NA NA NA NA NA 2636 328 653 NA NA NA NA NA
1476176400.0 119.0 77 91 361 NA NA NA NA NA 154 184 439 NA NA NA NA NA 6104 523 695 NA NA NA NA NA 2098 309 583 NA NA NA NA NA
1476176400.0 12.0 NA 102 385 0 NA NA NA NA NA 230 476 0 NA NA NA NA NA 2448 2390 475 NA NA NA NA NA 828 1190 512 NA NA NA NA
1476176400.0 120.0 61 91 363 NA NA NA NA NA 111 204 448 NA NA NA NA NA 1352 753 1000 NA NA NA NA NA 817 448 884 NA NA NA NA NA
