Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476608400.0 126.0 54 84 369 NA NA NA NA 112 187 470 NA NA NA NA 1450 355 466 NA NA NA NA 762 235 415 NA NA NA NA
1476608400.0 127.0 55 84 368 NA NA NA NA 110 185 468 NA NA NA NA 1305 359 473 NA NA NA NA 599 234 426 NA NA NA NA
1476608400.0 128.0 49 87 369 NA NA NA NA 97 214 466 NA NA NA NA 613 385 441 NA NA NA NA 415 240 410 NA NA NA NA
1476608400.0 129.0 51 86 356 NA NA NA NA 103 184 451 NA NA NA NA 596 364 454 NA NA NA NA 390 240 422 NA NA NA NA
1476608400.0 13.0 NA 94 368 0 NA NA NA NA 220 467 0 NA NA NA NA 356 802 334 NA NA NA NA 235 503 339 NA NA NA
1476608400.0 130.0 51 85 363 NA NA NA NA 104 198 466 NA NA NA NA 659 370 470 NA NA NA NA 419 246 434 NA NA NA NA
1476608400.0 1303.0 84 206 189 NA NA NA NA 138 321 261 NA NA NA NA 10925 834 891 NA NA NA NA 3976 514 522 NA NA NA NA
1476608400.0 131.0 53 88 371 NA NA NA NA 101 200 472 NA NA NA NA 1305 360 473 NA NA NA NA 588 231 420 NA NA NA NA
1476608400.0 1313.0 NA 223 460 0 NA NA NA NA 335 573 0 NA NA NA NA 732 1506 753 NA NA NA NA 399 927 743 NA NA NA
1476608400.0 1314.0 NA 200 443 0 NA NA NA NA 339 530 0 NA NA NA NA 625 783 1008 NA NA NA NA 356 643 1015 NA NA NA
1476608400.0 132.0 78 98 371 NA NA NA NA 152 199 464 NA NA NA NA 7099 603 835 NA NA NA NA 2269 362 579 NA NA NA NA
1476608400.0 1320.0 NA 200 437 0 NA NA NA NA 304 535 0 NA NA NA NA 635 734 781 NA NA NA NA 411 661 783 NA NA NA
1476608400.0 1322.0 NA 200 446 0 NA NA NA NA 318 536 0 NA NA NA NA 624 868 695 NA NA NA NA 370 761 706 NA NA NA
1476608400.0 1324.0 NA 216 451 0 NA NA NA NA 361 548 0 NA NA NA NA 871 913 733 NA NA NA NA 502 711 739 NA NA NA
1476608400.0 1325.0 NA 214 465 0 76 NA NA NA 353 563 0 122 NA NA NA 833 979 803 115 NA NA NA 460 766 807 133 NA NA
1476608400.0 1325.1 NA 218 257 0 NA NA NA NA 356 330 0 NA NA NA NA 665 352 235 NA NA NA NA 588 500 242 NA NA NA
1476608400.0 1325.3 NA 214 239 0 NA NA NA NA 349 322 0 NA NA NA NA 641 349 227 NA NA NA NA 719 339 233 NA NA NA
1476608400.0 1326.0 NA 209 446 0 NA NA NA NA 321 527 0 NA NA NA NA 631 962 757 NA NA NA NA 395 847 755 NA NA NA
