Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1476651600.0 10.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 10023.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 10024.2 NA 0 NA 0 NA 0 NA 0
1476651600.0 10024.4 NA 0 NA 0 NA 0 NA 0
1476651600.0 10025.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 10026.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 101.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 102.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 10224.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 10225.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 105.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 106.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 107.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 108.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 10824.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 109.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 1102.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 118.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 119.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 121.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 123.1 0 NA 0 NA 0 NA 0 NA
1476651600.0 123.2 0 NA 0 NA 0 NA 0 NA
1476651600.0 123.3 0 NA 0 NA 0 NA 0 NA
1476651600.0 124.1 0 NA 0 NA 0 NA 0 NA
1476651600.0 124.2 0 NA 0 NA 0 NA 0 NA
1476651600.0 124.4 0 NA 0 NA 0 NA 0 NA
1476651600.0 124.5 0 NA 0 NA 0 NA 0 NA
1476651600.0 124.6 0 NA 0 NA 0 NA 0 NA
1476651600.0 1302.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 1306.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1310.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1311.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1313.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1317.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1318.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 132.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 1321.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1322.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1323.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1324.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1325.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1325.2 NA 0 NA 0 NA 0 NA 0
1476651600.0 1325.4 NA 0 NA 0 NA 0 NA 0
1476651600.0 1326.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1327.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1329.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 133.0 0 NA 0 NA 0 NA 0 NA
1476651600.0 1330.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1331.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1332.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1334.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1335.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1336.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 1339.0 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.702 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.707 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.708 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.709 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.801 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.806 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.808 NA 0 NA 0 NA 0 NA 0
1476651600.0 134.813 NA 0 NA 0 NA 0 NA 0
