Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1476306000.0 1.0 82 81 135 NA NA NA NA NA 149 195 202 NA NA NA NA NA 1553 333 201 NA NA NA NA NA 726 185 195 NA NA NA NA NA
1476306000.0 10.0 NA 113 380 0 NA NA NA NA NA 226 456 0 NA NA NA NA NA 4958 4308 756 NA NA NA NA NA 1608 1805 772 NA NA NA NA
1476306000.0 1000.0 NA 358 129 0 48 NA NA NA NA 450 186 0 84 NA NA NA NA 1668 548 242 96 NA NA NA NA 732 287 248 99 NA NA NA
1476306000.0 1001.0 NA 340 200 0 0 0 0 0 NA 420 248 0 0 0 0 0 NA 1484 262 4 16 236 27 245 NA 668 231 23 20 240 18 258
1476306000.0 10021.0 NA 132 364 83 0 NA NA NA NA 256 473 119 0 NA NA NA NA 1454 2770 145 750 NA NA NA NA 1121 2417 208 1018 NA NA NA
1476306000.0 10023.0 NA 124 364 83 0 NA NA NA NA 257 474 118 0 NA NA NA NA 989 2407 156 710 NA NA NA NA 892 2352 232 740 NA NA NA
1476306000.0 10024.0 NA 137 380 81 0 NA NA NA NA 247 517 119 0 NA NA NA NA 1176 2829 159 729 NA NA NA NA 701 2423 213 744 NA NA NA
1476306000.0 10024.1 NA 134 240 72 NA NA NA NA NA 258 330 108 NA NA NA NA NA 520 330 48 NA NA NA NA NA 299 267 71 NA NA NA NA
1476306000.0 10024.2 NA 140 374 84 0 NA NA NA NA 266 504 119 0 NA NA NA NA 1156 2782 139 739 NA NA NA NA 716 2384 197 750 NA NA NA
1476306000.0 10024.3 NA 145 231 73 NA NA NA NA NA 257 319 108 NA NA NA NA NA 498 314 47 NA NA NA NA NA 445 256 71 NA NA NA NA
1476306000.0 10024.4 NA 143 378 84 0 NA NA NA NA 248 488 120 0 NA NA NA NA 1183 2799 151 716 NA NA NA NA 695 2463 219 726 NA NA NA
1476306000.0 10024.5 NA 142 226 73 NA NA NA NA NA 265 307 108 NA NA NA NA NA 517 302 50 NA NA NA NA NA 304 260 73 NA NA NA NA
1476306000.0 10025.0 NA 139 373 83 0 NA NA NA NA 260 493 119 0 NA NA NA NA 512 1188 54 329 NA NA NA NA 728 1109 88 338 NA NA NA
1476306000.0 10026.0 NA 139 384 79 0 NA NA NA NA 249 503 119 0 NA NA NA NA 1164 3509 131 720 NA NA NA NA 676 3362 187 731 NA NA NA
1476306000.0 1004.0 NA 379 129 0 0 0 0 NA NA 460 181 0 0 0 0 NA NA 477 95 4 15 223 190 NA NA 348 100 6 17 226 192 NA
1476306000.0 101.0 81 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 732 NA NA NA NA NA NA NA 753 NA NA NA NA NA NA NA
1476306000.0 102.0 83 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 578 NA NA NA NA NA NA NA 600 NA NA NA NA NA NA NA
1476306000.0 10224.0 NA 237 634 0 NA NA NA NA NA 419 816 0 NA NA NA NA NA 2806 3515 403 NA NA NA NA NA 1181 1810 436 NA NA NA NA
1476306000.0 10225.0 NA 241 634 0 NA NA NA NA NA 414 788 0 NA NA NA NA NA 3373 3224 366 NA NA NA NA NA 1526 1753 371 NA NA NA NA
1476306000.0 103.0 36 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 276 93 196 NA NA NA NA NA 352 101 208 NA NA NA NA NA
1476306000.0 10424.0 72 143 393 74 0 NA NA NA 124 238 525 119 0 NA NA NA 4974 644 1280 75 401 NA NA NA 1630 455 1110 101 407 NA NA NA
1476306000.0 105.0 74 90 24 NA NA NA NA NA 152 189 60 NA NA NA NA NA 1585 350 2 NA NA NA NA NA 700 202 5 NA NA NA NA NA
1476306000.0 106.0 44 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 277 92 190 NA NA NA NA NA 372 102 205 NA NA NA NA NA
1476306000.0 10624.0 70 150 384 80 0 NA NA NA 123 247 499 120 0 NA NA NA 5012 777 1400 74 416 NA NA NA 1829 453 1178 107 421 NA NA NA
1476306000.0 107.0 79 101 363 NA NA NA NA NA 174 194 460 NA NA NA NA NA 8947 980 1298 NA NA NA NA NA 2958 529 1124 NA NA NA NA NA
1476306000.0 108.0 80 97 370 NA NA NA NA NA 171 191 465 NA NA NA NA NA 12095 976 1271 NA NA NA NA NA 4295 527 937 NA NA NA NA NA
1476306000.0 10824.0 72 146 396 83 0 NA NA NA 123 259 528 119 0 NA NA NA 4624 788 1490 74 470 NA NA NA 1558 491 1259 90 483 NA NA NA
1476306000.0 109.0 78 101 375 NA NA NA NA NA 159 195 456 NA NA NA NA NA 11174 923 1258 NA NA NA NA NA 3822 498 953 NA NA NA NA NA
1476306000.0 11.0 NA 98 405 0 62 NA NA NA NA 220 489 0 96 NA NA NA NA 1651 753 295 19 NA NA NA NA 545 485 302 22 NA NA NA
1476306000.0 110.0 53 89 361 NA NA NA NA NA 100 190 455 NA NA NA NA NA 705 349 364 NA NA NA NA NA 401 203 342 NA NA NA NA NA
1476306000.0 1102.0 NA 112 380 123 62 NA NA NA NA 233 470 182 114 NA NA NA NA 4990 5891 3179 567 NA NA NA NA 1501 2322 1163 175 NA NA NA
1476306000.0 111.0 76 93 379 NA NA NA NA NA 156 218 473 NA NA NA NA NA 2065 330 415 NA NA NA NA NA 962 210 374 NA NA NA NA NA
1476306000.0 112.0 76 98 370 NA NA NA NA NA 165 214 449 NA NA NA NA NA 3096 396 432 NA NA NA NA NA 1105 244 372 NA NA NA NA NA
1476306000.0 113.0 78 93 365 NA NA NA NA NA 161 204 451 NA NA NA NA NA 9233 913 1155 NA NA NA NA NA 3059 483 1033 NA NA NA NA NA
1476306000.0 114.0 74 102 368 NA NA NA NA NA 166 200 457 NA NA NA NA NA 9171 965 1210 NA NA NA NA NA 2955 543 1009 NA NA NA NA NA
1476306000.0 115.0 81 95 377 NA NA NA NA NA 170 194 473 NA NA NA NA NA 3576 439 470 NA NA NA NA NA 1257 242 395 NA NA NA NA NA
