Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476568800.0 1336.0 NA 221 454 0 NA NA 356 554 0 NA NA 1377 2249 788 NA NA 640 1184 799 NA
1476568800.0 1337.0 NA 241 469 0 NA NA 374 560 0 NA NA 1210 1651 982 NA NA 626 1054 991 NA
1476568800.0 1338.0 NA 216 460 0 NA NA 344 556 0 NA NA 758 1096 943 NA NA 475 896 958 NA
1476568800.0 1339.0 NA 218 460 0 NA NA 353 554 0 NA NA 1023 1406 983 NA NA 567 950 995 NA
1476568800.0 134.701 NA 37 372 0 NA NA 93 450 0 NA NA 337 3966 273 NA NA 147 1700 276 NA
1476568800.0 134.702 NA 45 370 0 NA NA 93 450 0 NA NA 826 10367 500 NA NA 272 4995 516 NA
1476568800.0 134.708 NA 45 368 0 NA NA 96 449 0 NA NA 441 4794 273 NA NA 162 1685 282 NA
1476568800.0 134.709 NA 47 384 0 NA NA 91 480 0 NA NA 482 6706 370 NA NA 187 2334 388 NA
1476568800.0 134.71 NA 41 358 0 NA NA 88 444 0 NA NA 327 3117 279 NA NA 157 1669 294 NA
1476568800.0 134.807 NA 99 400 0 NA NA 154 520 0 NA NA 11792 9178 444 NA NA 5168 3353 453 NA
1476568800.0 134.808 NA 86 393 0 NA NA 157 491 0 NA NA 6334 6591 329 NA NA 3903 2120 347 NA
1476568800.0 134.81 NA 44 375 0 NA NA 90 459 0 NA NA 704 7744 360 NA NA 309 2569 367 NA
1476568800.0 134.811 NA 43 380 0 NA NA 91 470 0 NA NA 1071 13101 495 NA NA 421 5372 508 NA
1476568800.0 134.812 NA 38 370 0 NA NA 91 441 0 NA NA 444 4394 348 NA NA 196 2733 369 NA
1476568800.0 134.813 NA 176 69 0 NA NA 263 111 0 NA NA 621 158 92 NA NA 367 99 126 NA
1476568800.0 134.903 NA 41 361 0 NA NA 95 442 0 NA NA 413 4408 266 NA NA 142 1562 276 NA
1476568800.0 134.904 NA 39 369 0 NA NA 96 473 0 NA NA 644 6646 353 NA NA 265 2486 361 NA
1476568800.0 134.905 NA 36 362 0 NA NA 96 448 0 NA NA 429 4122 317 NA NA 176 1734 334 NA
1476568800.0 134.907 NA 88 382 0 NA NA 156 499 0 NA NA 5078 4600 340 NA NA 2536 1605 367 NA
1476568800.0 134.908 NA 80 383 0 NA NA 158 474 0 NA NA 1542 5311 274 NA NA 492 2246 290 NA
1476568800.0 134.909 NA 45 366 0 NA NA 96 446 0 NA NA 411 4562 277 NA NA 144 1829 299 NA
1476568800.0 134.911 NA 46 372 0 NA NA 94 445 0 NA NA 604 5637 371 NA NA 267 2642 376 NA
1476568800.0 134.99603 NA 46 380 0 NA NA 96 469 0 NA NA 632 7379 390 NA NA 221 2459 384 NA
1476568800.0 1340.0 NA 203 447 0 NA NA 326 543 0 NA NA 744 938 1013 NA NA 482 960 1012 NA
1476568800.0 1341.0 NA 232 463 0 NA NA 359 566 0 NA NA 1097 1684 984 NA NA 834 1569 1002 NA
1476568800.0 1343.0 NA 205 452 0 NA NA 347 543 0 NA NA 828 1065 985 NA NA 503 919 993 NA
1476568800.0 1344.0 NA 215 458 0 NA NA 341 551 0 NA NA 809 1127 988 NA NA 485 913 999 NA
1476568800.0 1345.0 NA 216 463 0 NA NA 340 555 0 NA NA 1246 1739 1540 NA NA 762 1452 1503 NA
1476568800.0 1348.0 NA 220 440 0 NA NA 309 527 0 NA NA 1188 1751 1413 NA NA 736 1871 1446 NA
1476568800.0 1349.0 NA 214 442 0 NA NA 340 535 0 NA NA 700 1049 925 NA NA 471 1257 937 NA
1476568800.0 135.1 430 0 114 NA NA 536 0 155 NA NA 1162 282 298 NA NA 730 289 253 NA NA
1476568800.0 135.11 449 0 116 NA NA 555 0 161 NA NA 1636 305 370 NA NA 2027 322 268 NA NA
1476568800.0 135.12 420 0 105 NA NA 520 0 155 NA NA 1033 270 234 NA NA 722 277 240 NA NA
1476568800.0 135.3 376 0 105 NA NA 498 0 157 NA NA 1068 185 164 NA NA 1138 193 199 NA NA
1476568800.0 135.7 424 0 103 NA NA 528 0 151 NA NA 983 269 237 NA NA 682 278 243 NA NA
1476568800.0 135.8 144 NA NA NA NA 228 NA NA NA NA 270 NA NA NA NA 409 NA NA NA NA
1476568800.0 135.9 385 0 103 NA NA 505 0 154 NA NA 1063 262 153 NA NA 1133 269 179 NA NA
1476568800.0 1351.0 NA 209 444 0 NA NA 347 539 0 NA NA 728 972 1217 NA NA 466 880 1251 NA
1476568800.0 1354.0 NA 218 454 0 NA NA 350 539 0 NA NA 790 1086 960 NA NA 534 885 970 NA
1476568800.0 1355.0 NA 217 454 0 NA NA 361 534 0 NA NA 848 1091 980 NA NA 492 938 974 NA
1476568800.0 1356.0 81 221 461 0 111 134 315 540 0 159 4619 807 1255 988 251 1733 543 1148 999 263
1476568800.0 136.721 NA 227 415 0 NA NA 316 496 0 NA NA 4093 7617 404 NA NA 1632 2943 419 NA
1476568800.0 136.722 NA 213 415 0 NA NA 335 520 0 NA NA 4349 7695 399 NA NA 1465 2697 418 NA
1476568800.0 136.724 NA 223 425 0 NA NA 337 507 0 NA NA 6640 11580 513 NA NA 2940 3703 534 NA
1476568800.0 136.725 NA 219 420 0 NA NA 328 505 0 NA NA 4810 9339 517 NA NA 1623 3062 526 NA
1476568800.0 136.726 NA 230 421 0 NA NA 329 501 0 NA NA 5657 9922 531 NA NA 1758 3324 543 NA
1476568800.0 136.727 NA 249 426 0 NA NA 377 533 0 NA NA 31704 9852 817 NA NA 11255 3769 928 NA
1476568800.0 136.728 NA 246 425 0 NA NA 383 532 0 NA NA 5909 8855 415 NA NA 1816 2970 431 NA
1476568800.0 136.729 NA 217 415 0 NA NA 329 516 0 NA NA 4182 7976 409 NA NA 1429 2978 420 NA
1476568800.0 136.73 NA 223 432 0 NA NA 322 530 0 NA NA 5635 11072 608 NA NA 2032 3653 624 NA
1476568800.0 136.731 NA 225 428 0 NA NA 335 505 0 NA NA 5214 10255 548 NA NA 1540 3447 581 NA
1476568800.0 136.732 NA 211 410 0 NA NA 315 492 0 NA NA 3200 6240 409 NA NA 1248 2312 420 NA
1476568800.0 136.7321 NA 223 449 0 NA NA 320 531 0 NA NA 3388 7317 443 NA NA 1480 2556 461 NA
1476568800.0 136.734 NA 232 418 0 NA NA 316 503 0 NA NA 5797 11313 531 NA NA 1794 3678 540 NA
1476568800.0 136.735 NA 188 334 0 NA NA 271 411 0 NA NA 2979 2889 590 NA NA 2540 1744 604 NA
1476568800.0 136.736 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.737 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.738 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.74 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.741 NA 230 437 0 NA NA 363 539 0 NA NA 8005 12416 460 NA NA 2540 3949 475 NA
1476568800.0 136.745 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.746 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.748 NA 248 434 0 NA NA 353 540 0 NA NA 7132 14281 424 NA NA 2400 4323 435 NA
1476568800.0 136.749 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.751 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1476568800.0 136.752 NA 247 442 0 NA NA 354 530 0 NA NA 8806 18888 560 NA NA 2713 5593 580 NA
1476568800.0 136.754 NA 237 441 0 NA NA 343 532 0 NA NA 15525 12978 541 NA NA 14386 4371 546 NA
1476568800.0 136.755 NA 239 441 0 NA NA 367 539 0 NA NA 33974 17601 379 NA NA 14199 5495 386 NA
1476568800.0 136.756 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
