Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476568800.0 10.0 NA 75 179 0 NA NA 140 229 0 NA NA 1773 2103 634 NA NA 2103 2260 671 NA
1476568800.0 1003.0 NA 155 0 NA NA NA 218 0 NA NA NA 3982 644 NA NA NA 4033 666 NA NA
1476568800.0 101.0 80 NA NA NA NA 136 NA NA NA NA 958 NA NA NA NA 998 NA NA NA NA
1476568800.0 102.0 79 NA NA NA NA 135 NA NA NA NA 1129 NA NA NA NA 1201 NA NA NA NA
1476568800.0 107.0 52 73 171 NA NA 97 143 227 NA NA 5302 511 842 NA NA 5360 550 979 NA NA
1476568800.0 109.0 54 79 171 NA NA 100 143 228 NA NA 7657 498 1012 NA NA 7722 517 1040 NA NA
1476568800.0 112.0 52 75 171 NA NA 98 143 227 NA NA 4033 518 735 NA NA 4121 545 757 NA NA
1476568800.0 113.0 53 83 173 NA NA 98 143 227 NA NA 4193 629 790 NA NA 4224 649 850 NA NA
1476568800.0 116.0 53 74 169 NA NA 99 143 227 NA NA 5596 479 789 NA NA 5660 493 812 NA NA
1476568800.0 117.0 54 81 170 NA NA 99 143 227 NA NA 5486 419 686 NA NA 5550 433 715 NA NA
1476568800.0 118.0 54 83 170 NA NA 99 143 227 NA NA 3963 398 633 NA NA 4026 412 669 NA NA
1476568800.0 119.0 52 80 171 NA NA 97 143 227 NA NA 3236 349 579 NA NA 3402 453 625 NA NA
1476568800.0 12.0 NA 65 172 0 NA NA 139 228 0 NA NA 1599 2376 716 NA NA 1844 2450 731 NA
1476568800.0 121.0 54 82 170 NA NA 99 143 227 NA NA 4769 382 663 NA NA 4825 504 719 NA NA
1476568800.0 123.1 153 NA NA NA NA 213 NA NA NA NA 569 NA NA NA NA 605 NA NA NA NA
1476568800.0 123.2 153 NA NA NA NA 215 NA NA NA NA 675 NA NA NA NA 707 NA NA NA NA
1476568800.0 123.3 144 NA NA NA NA 202 NA NA NA NA 419 NA NA NA NA 446 NA NA NA NA
1476568800.0 124.1 151 NA NA NA NA 205 NA NA NA NA 390 NA NA NA NA 466 NA NA NA NA
1476568800.0 124.2 155 NA NA NA NA 212 NA NA NA NA 486 NA NA NA NA 524 NA NA NA NA
1476568800.0 124.4 149 NA NA NA NA 205 NA NA NA NA 417 NA NA NA NA 436 NA NA NA NA
1476568800.0 124.5 148 NA NA NA NA 205 NA NA NA NA 448 NA NA NA NA 472 NA NA NA NA
1476568800.0 124.6 144 NA NA NA NA 202 NA NA NA NA 404 NA NA NA NA 428 NA NA NA NA
1476568800.0 1301.0 57 110 145 NA NA 103 171 206 NA NA 1468 528 535 NA NA 1773 590 578 NA NA
1476568800.0 1302.0 62 118 153 NA NA 108 171 209 NA NA 7727 785 1056 NA NA 7927 841 1125 NA NA
1476568800.0 1303.0 64 125 148 NA NA 109 171 214 NA NA 6697 576 1027 NA NA 6863 612 1072 NA NA
1476568800.0 1311.0 NA 123 198 0 46 NA 181 259 0 85 NA 501 708 1238 100 NA 591 1149 1259 162
1476568800.0 133.0 56 76 175 NA NA 100 143 229 NA NA 9116 575 988 NA NA 9232 595 1018 NA NA
1476568800.0 134.0 NA 183 34 0 NA NA 249 66 0 NA NA 2415 12 11 NA NA 2655 26 52 NA
1476568800.0 134.701 NA 103 204 0 NA NA 164 267 0 NA NA 894 3760 619 NA NA 1046 3833 677 NA
1476568800.0 134.703 NA 100 208 0 NA NA 163 271 0 NA NA 1294 5037 613 NA NA 1709 5538 645 NA
1476568800.0 134.708 NA 100 201 0 NA NA 166 264 0 NA NA 1286 4599 589 NA NA 1369 4733 600 NA
1476568800.0 134.801 NA 106 206 0 NA NA 166 262 0 NA NA 1005 3288 514 NA NA 1067 3334 522 NA
