Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476435600.0 1.0 53 69 113 NA NA NA NA 96 143 168 NA NA NA NA 2888 624 733 NA NA NA NA 3005 649 840 NA NA NA NA
1476435600.0 10.0 NA 66 172 0 NA NA NA NA 140 229 0 NA NA NA NA 1699 1790 549 NA NA NA NA 1760 1852 571 NA NA NA
1476435600.0 1000.0 NA 175 108 0 33 NA NA NA 236 153 0 66 NA NA NA 3822 1075 857 328 NA NA NA 4295 1868 891 343 NA NA
1476435600.0 1001.0 NA 166 161 0 0 0 0 NA 222 202 0 0 0 0 NA 3493 1075 126 103 1401 269 NA 3538 1332 133 107 1417 280
1476435600.0 1002.0 NA 183 54 NA NA NA NA NA 248 93 NA NA NA NA NA 3772 303 NA NA NA NA NA 3984 438 NA NA NA NA
1476435600.0 1003.0 NA 156 0 NA NA NA NA NA 221 0 NA NA NA NA NA 5214 760 NA NA NA NA NA 5293 787 NA NA NA NA
1476435600.0 101.0 81 NA NA NA NA NA NA 136 NA NA NA NA NA NA 847 NA NA NA NA NA NA 904 NA NA NA NA NA NA
1476435600.0 102.0 79 NA NA NA NA NA NA 135 NA NA NA NA NA NA 749 NA NA NA NA NA NA 831 NA NA NA NA NA NA
1476435600.0 103.0 45 71 170 NA NA NA NA 90 143 226 NA NA NA NA 1272 422 801 NA NA NA NA 1363 490 898 NA NA NA NA
1476435600.0 105.0 51 73 23 NA NA NA NA 96 143 52 NA NA NA NA 2944 635 6 NA NA NA NA 3008 650 8 NA NA NA NA
1476435600.0 106.0 36 0 0 NA NA NA NA 76 0 0 NA NA NA NA 716 149 330 NA NA NA NA 745 156 339 NA NA NA NA
1476435600.0 107.0 51 73 171 NA NA NA NA 97 143 227 NA NA NA NA 5568 690 1002 NA NA NA NA 5918 758 1173 NA NA NA NA
1476435600.0 108.0 56 75 172 NA NA NA NA 100 143 228 NA NA NA NA 3612 306 536 NA NA NA NA 3728 335 584 NA NA NA NA
1476435600.0 109.0 55 84 174 NA NA NA NA 100 143 228 NA NA NA NA 4184 358 676 NA NA NA NA 4214 377 730 NA NA NA NA
1476435600.0 11.0 NA 70 180 0 46 NA NA NA 139 236 0 76 NA NA NA 1281 787 540 38 NA NA NA 1334 877 559 48 NA NA
1476435600.0 110.0 45 72 166 NA NA NA NA 88 143 222 NA NA NA NA 1034 636 853 NA NA NA NA 1097 725 1013 NA NA NA NA
1476435600.0 1102.0 NA 68 177 103 57 NA NA NA 139 230 153 100 NA NA NA 1776 2487 1491 140 NA NA NA 2045 2532 1567 145 NA NA
1476435600.0 111.0 50 82 169 NA NA NA NA 96 143 227 NA NA NA NA 3274 524 923 NA NA NA NA 3414 543 967 NA NA NA NA
1476435600.0 112.0 53 81 171 NA NA NA NA 98 143 227 NA NA NA NA 4817 652 1051 NA NA NA NA 4994 678 1090 NA NA NA NA
1476435600.0 113.0 56 77 170 NA NA NA NA 98 143 227 NA NA NA NA 5367 681 1040 NA NA NA NA 5594 731 1110 NA NA NA NA
1476435600.0 114.0 52 75 172 NA NA NA NA 98 143 227 NA NA NA NA 2266 301 439 NA NA NA NA 2295 319 600 NA NA NA NA
1476435600.0 115.0 53 71 168 NA NA NA NA 99 143 226 NA NA NA NA 6616 796 1077 NA NA NA NA 6821 1472 1141 NA NA NA NA
1476435600.0 116.0 53 73 171 NA NA NA NA 99 143 227 NA NA NA NA 6076 721 1052 NA NA NA NA 6215 784 1102 NA NA NA NA
1476435600.0 117.0 56 74 172 NA NA NA NA 99 143 227 NA NA NA NA 4070 320 522 NA NA NA NA 4099 351 559 NA NA NA NA
1476435600.0 118.0 53 72 171 NA NA NA NA 99 143 227 NA NA NA NA 3115 329 522 NA NA NA NA 3169 353 567 NA NA NA NA
1476435600.0 119.0 53 72 170 NA NA NA NA 97 143 227 NA NA NA NA 4988 676 1028 NA NA NA NA 5067 726 1060 NA NA NA NA
1476435600.0 12.0 NA 75 173 0 NA NA NA NA 139 228 0 NA NA NA NA 1440 1885 563 NA NA NA NA 1465 1958 576 NA NA NA
1476435600.0 120.0 44 72 169 NA NA NA NA 87 143 226 NA NA NA NA 928 621 835 NA NA NA NA 957 661 859 NA NA NA NA
1476435600.0 121.0 53 81 172 NA NA NA NA 99 143 227 NA NA NA NA 3661 313 525 NA NA NA NA 3674 331 566 NA NA NA NA
1476435600.0 122.0 50 72 170 NA NA NA NA 96 143 227 NA NA NA NA 1967 534 828 NA NA NA NA 2016 560 964 NA NA NA NA
1476435600.0 123.1 153 NA NA NA NA NA NA 213 NA NA NA NA NA NA 490 NA NA NA NA NA NA 614 NA NA NA NA NA NA
1476435600.0 123.2 157 NA NA NA NA NA NA 214 NA NA NA NA NA NA 612 NA NA NA NA NA NA 706 NA NA NA NA NA NA
1476435600.0 123.3 144 NA NA NA NA NA NA 202 NA NA NA NA NA NA 360 NA NA NA NA NA NA 544 NA NA NA NA NA NA
1476435600.0 124.1 150 NA NA NA NA NA NA 205 NA NA NA NA NA NA 347 NA NA NA NA NA NA 416 NA NA NA NA NA NA
1476435600.0 124.2 155 NA NA NA NA NA NA 212 NA NA NA NA NA NA 418 NA NA NA NA NA NA 894 NA NA NA NA NA NA
1476435600.0 124.4 150 NA NA NA NA NA NA 205 NA NA NA NA NA NA 344 NA NA NA NA NA NA 430 NA NA NA NA NA NA
1476435600.0 124.5 153 NA NA NA NA NA NA 205 NA NA NA NA NA NA 354 NA NA NA NA NA NA 481 NA NA NA NA NA NA
1476435600.0 124.6 144 NA NA NA NA NA NA 202 NA NA NA NA NA NA 346 NA NA NA NA NA NA 455 NA NA NA NA NA NA
1476435600.0 125.0 54 77 172 NA NA NA NA 99 144 227 NA NA NA NA 3030 298 435 NA NA NA NA 3095 489 544 NA NA NA NA
1476435600.0 126.0 44 75 167 NA NA NA NA 84 143 226 NA NA NA NA 1871 689 897 NA NA NA NA 1937 730 1027 NA NA NA NA
1476435600.0 127.0 44 69 167 NA NA NA NA 88 143 226 NA NA NA NA 2358 621 937 NA NA NA NA 2378 651 1063 NA NA NA NA
1476435600.0 128.0 43 70 167 NA NA NA NA 82 143 226 NA NA NA NA 858 627 839 NA NA NA NA 905 653 1008 NA NA NA NA
1476435600.0 129.0 44 71 166 NA NA NA NA 83 143 226 NA NA NA NA 881 619 826 NA NA NA NA 936 717 873 NA NA NA NA
1476435600.0 13.0 NA 73 169 0 NA NA NA NA 139 226 0 NA NA NA NA 475 1775 983 NA NA NA NA 496 1823 1031 NA NA NA
