Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476694800.0 10424.0 80 132 375 76 0 122 248 520 119 0 4008 613 1302 76 437 1499 423 1166 106 443
1476694800.0 1306.0 NA 207 431 0 NA NA 317 523 0 NA NA 465 686 817 NA NA 325 652 824 NA
1476694800.0 1311.0 NA 200 459 0 66 NA 342 551 0 102 NA 480 600 783 47 NA 449 587 794 71
1476694800.0 1314.0 NA 208 438 0 NA NA 328 529 0 NA NA 502 606 701 NA NA 321 560 708 NA
1476694800.0 1315.0 NA 199 449 0 NA NA 300 539 0 NA NA 502 723 799 NA NA 346 676 814 NA
1476694800.0 1321.0 NA 194 436 0 NA NA 336 531 0 NA NA 560 747 804 NA NA 380 679 818 NA
1476694800.0 1325.0 NA 214 447 0 82 NA 341 547 0 117 NA 631 767 761 89 NA 504 600 771 107
1476694800.0 1325.2 NA 221 459 0 NA NA 351 532 0 NA NA 586 729 755 NA NA 344 579 761 NA
1476694800.0 1332.0 NA 211 451 0 NA NA 350 520 0 NA NA 515 671 728 NA NA 316 583 747 NA
1476694800.0 134.705 NA 46 383 0 NA NA 90 456 0 NA NA 447 5605 311 NA NA 167 2424 318 NA
1476694800.0 134.99601 NA 35 377 0 NA NA 95 468 0 NA NA 539 5818 258 NA NA 176 2260 288 NA
1476694800.0 1345.0 NA 219 446 0 NA NA 348 536 0 NA NA 587 647 800 NA NA 408 579 815 NA
1476694800.0 1347.0 NA 207 448 0 NA NA 341 527 0 NA NA 585 695 754 NA NA 342 593 769 NA
1476694800.0 135.2 384 0 104 NA NA 482 0 150 NA NA 655 132 121 NA NA 555 148 141 NA NA
1476694800.0 135.5 408 0 98 NA NA 527 0 150 NA NA 682 148 130 NA NA 702 165 135 NA NA
1476694800.0 1353.0 NA 216 442 0 NA NA 351 537 0 NA NA 588 823 894 NA NA 431 719 905 NA
1476694800.0 136.725 NA 218 420 0 NA NA 314 502 0 NA NA 3139 5954 374 NA NA 1232 1910 381 NA
1476694800.0 136.727 NA 252 425 0 NA NA 359 533 0 NA NA 43671 6783 387 NA NA 16035 2303 397 NA
1476694800.0 136.731 NA 222 428 0 NA NA 315 505 0 NA NA 3312 6288 417 NA NA 1022 2092 430 NA
1476694800.0 136.7321 NA 215 446 0 NA NA 310 528 0 NA NA 2501 5093 439 NA NA 993 1770 452 NA
1476694800.0 136.754 NA 233 439 0 NA NA 334 532 0 NA NA 19993 9449 437 NA NA 15844 2912 440 NA
1476694800.0 136.755 NA 242 443 0 NA NA 338 532 0 NA NA 27007 13211 447 NA NA 12203 3907 516 NA
1476694800.0 136.767 NA 230 430 0 NA NA 321 539 0 NA NA 3463 10877 422 NA NA 1802 3667 430 NA
1476694800.0 136.768 NA 0 0 NA NA NA 0 0 NA NA NA 42 137 NA NA NA 1496 144 NA NA
1476694800.0 1360.0 96 216 452 0 NA 203 334 539 0 NA 3528 543 721 778 NA 2852 696 592 893 NA
