Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475269200.0 1.0 72 86 123 NA NA NA NA NA 150 186 198 NA NA NA NA NA 3399 687 450 NA NA NA NA NA 1546 384 409 NA NA NA NA NA
1475269200.0 10.0 NA 113 382 0 NA NA NA NA NA 227 473 0 NA NA NA NA NA 2593 2535 481 NA NA NA NA NA 909 1057 495 NA NA NA NA
1475269200.0 1000.0 NA 353 126 0 45 NA NA NA NA 440 180 0 81 NA NA NA NA 2699 829 445 144 NA NA NA NA 1249 1129 475 143 NA NA NA
1475269200.0 1001.0 NA 335 194 0 0 0 0 0 NA 414 241 0 0 0 0 0 NA 2307 492 6 30 466 20 458 NA 1037 494 10 36 470 25 463
1475269200.0 1002.0 NA 326 61 NA NA NA NA NA NA 410 101 NA NA NA NA NA NA 3516 635 NA NA NA NA NA NA 1588 195 NA NA NA NA NA
1475269200.0 10021.0 NA 184 359 0 NA NA NA NA NA 283 476 0 NA NA NA NA NA 847 1759 453 NA NA NA NA NA 513 1515 464 NA NA NA NA
1475269200.0 10023.0 NA 170 361 0 NA NA NA NA NA 293 467 0 NA NA NA NA NA 638 1477 441 NA NA NA NA NA 668 1459 457 NA NA NA NA
1475269200.0 10024.0 NA 177 371 0 NA NA NA NA NA 301 487 0 NA NA NA NA NA 740 1866 503 NA NA NA NA NA 473 1620 514 NA NA NA NA
1475269200.0 10024.1 NA 184 236 0 NA NA NA NA NA 278 337 0 NA NA NA NA NA 1055 746 371 NA NA NA NA NA 601 595 381 NA NA NA NA
1475269200.0 10024.2 NA 181 375 0 NA NA NA NA NA 308 497 0 NA NA NA NA NA 730 1795 479 NA NA NA NA NA 474 1863 493 NA NA NA NA
1475269200.0 10024.3 NA 188 225 0 NA NA NA NA NA 295 318 0 NA NA NA NA NA 1043 722 344 NA NA NA NA NA 810 579 372 NA NA NA NA
1475269200.0 10024.4 NA 188 371 0 NA NA NA NA NA 306 482 0 NA NA NA NA NA 725 1712 465 NA NA NA NA NA 687 1766 483 NA NA NA NA
1475269200.0 10024.5 NA 189 210 0 NA NA NA NA NA 304 287 0 NA NA NA NA NA 1056 675 340 NA NA NA NA NA 756 576 347 NA NA NA NA
1475269200.0 10025.0 NA 181 363 0 NA NA NA NA NA 299 497 0 NA NA NA NA NA 640 1614 438 NA NA NA NA NA 448 1489 449 NA NA NA NA
1475269200.0 10026.0 NA 181 378 0 NA NA NA NA NA 297 512 0 NA NA NA NA NA 1291 3488 918 NA NA NA NA NA 738 2661 933 NA NA NA NA
1475269200.0 1003.0 NA 271 0 NA NA NA NA NA NA 358 0 NA NA NA NA NA NA 4992 391 NA NA NA NA NA NA 1864 400 NA NA NA NA NA
1475269200.0 1004.0 NA 354 134 0 0 0 0 NA NA 446 179 0 0 0 0 NA NA 1203 322 8 40 561 445 NA NA 883 328 22 42 567 447 NA
1475269200.0 101.0 101 NA NA NA NA NA NA NA 168 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA 472 NA NA NA NA NA NA NA
1475269200.0 102.0 102 NA NA NA NA NA NA NA 169 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA 438 NA NA NA NA NA NA NA
1475269200.0 10224.0 NA 282 606 0 NA NA NA NA NA 398 785 0 NA NA NA NA NA 5261 7635 766 NA NA NA NA NA 2314 4073 772 NA NA NA NA
1475269200.0 10225.0 NA 286 602 0 NA NA NA NA NA 378 781 0 NA NA NA NA NA 4773 6718 789 NA NA NA NA NA 2561 4388 802 NA NA NA NA
1475269200.0 103.0 35 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 307 96 197 NA NA NA NA NA 367 148 213 NA NA NA NA NA
1475269200.0 10424.0 94 187 378 0 NA NA NA NA 138 293 511 0 NA NA NA NA 10340 1508 3336 1029 NA NA NA NA 3923 1003 2865 1032 NA NA NA NA
1475269200.0 105.0 71 93 26 NA NA NA NA NA 152 195 59 NA NA NA NA NA 1425 343 2 NA NA NA NA NA 717 227 5 NA NA NA NA NA
1475269200.0 106.0 34 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 307 98 197 NA NA NA NA NA 313 105 225 NA NA NA NA NA
1475269200.0 10624.0 86 181 380 0 NA NA NA NA 138 275 508 0 NA NA NA NA 9024 1619 4359 961 NA NA NA NA 3354 1039 3652 977 NA NA NA NA
1475269200.0 107.0 81 89 362 NA NA NA NA NA 162 219 446 NA NA NA NA NA 8316 831 1155 NA NA NA NA NA 3129 459 944 NA NA NA NA NA
1475269200.0 108.0 80 101 367 NA NA NA NA NA 161 208 460 NA NA NA NA NA 8064 568 829 NA NA NA NA NA 2788 380 616 NA NA NA NA NA
1475269200.0 10824.0 85 190 390 0 NA NA NA NA 138 287 517 0 NA NA NA NA 10317 1567 3436 968 NA NA NA NA 3645 1035 2782 985 NA NA NA NA
1475269200.0 109.0 84 102 362 NA NA NA NA NA 164 218 450 NA NA NA NA NA 9368 564 832 NA NA NA NA NA 3415 359 622 NA NA NA NA NA
1475269200.0 11.0 NA 108 415 0 56 NA NA NA NA 221 495 0 93 NA NA NA NA 2020 1195 495 29 NA NA NA NA 688 747 508 36 NA NA NA
1475269200.0 110.0 58 93 355 NA NA NA NA NA 98 194 453 NA NA NA NA NA 630 353 383 NA NA NA NA NA 602 259 354 NA NA NA NA NA
1475269200.0 1102.0 NA 112 380 116 61 NA NA NA NA 222 452 178 111 NA NA NA NA 2869 3297 1932 329 NA NA NA NA 987 1409 689 114 NA NA NA
1475269200.0 111.0 76 96 372 NA NA NA NA NA 150 207 465 NA NA NA NA NA 4640 723 1086 NA NA NA NA NA 1772 432 928 NA NA NA NA NA
1475269200.0 112.0 78 98 368 NA NA NA NA NA 158 217 455 NA NA NA NA NA 7060 875 1077 NA NA NA NA NA 2475 465 926 NA NA NA NA NA
1475269200.0 113.0 79 96 361 NA NA NA NA NA 160 212 455 NA NA NA NA NA 7013 866 1198 NA NA NA NA NA 2459 499 1028 NA NA NA NA NA
1475269200.0 114.0 76 91 360 NA NA NA NA NA 162 216 453 NA NA NA NA NA 7345 899 1172 NA NA NA NA NA 2534 503 959 NA NA NA NA NA
1475269200.0 115.0 78 102 380 NA NA NA NA NA 161 216 464 NA NA NA NA NA 8238 918 1126 NA NA NA NA NA 2860 501 922 NA NA NA NA NA
1475269200.0 116.0 75 100 360 NA NA NA NA NA 157 207 451 NA NA NA NA NA 7928 543 742 NA NA NA NA NA 2938 344 622 NA NA NA NA NA
1475269200.0 117.0 82 95 362 NA NA NA NA NA 161 215 442 NA NA NA NA NA 8207 874 1226 NA NA NA NA NA 2738 543 935 NA NA NA NA NA
1475269200.0 118.0 74 103 373 NA NA NA NA NA 152 211 467 NA NA NA NA NA 8573 585 853 NA NA NA NA NA 2695 387 648 NA NA NA NA NA
1475269200.0 119.0 76 97 373 NA NA NA NA NA 162 213 465 NA NA NA NA NA 6057 818 1054 NA NA NA NA NA 2137 476 878 NA NA NA NA NA
1475269200.0 12.0 NA 99 371 0 NA NA NA NA NA 223 460 0 NA NA NA NA NA 4263 3709 864 NA NA NA NA NA 1366 1748 965 NA NA NA NA
1475269200.0 120.0 52 93 348 NA NA NA NA NA 110 197 440 NA NA NA NA NA 1301 719 890 NA NA NA NA NA 780 415 817 NA NA NA NA NA
1475269200.0 121.0 80 94 373 NA NA NA NA NA 161 214 476 NA NA NA NA NA 8685 943 1359 NA NA NA NA NA 3307 566 990 NA NA NA NA NA
1475269200.0 122.0 47 83 349 NA NA NA NA NA 110 202 434 NA NA NA NA NA 1684 423 830 NA NA NA NA NA 1045 364 823 NA NA NA NA NA
1475269200.0 123.1 325 NA NA NA NA NA NA NA 450 NA NA NA NA NA NA NA 629 NA NA NA NA NA NA NA 389 NA NA NA NA NA NA NA
1475269200.0 123.2 334 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA NA 742 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA
1475269200.0 123.3 294 NA NA NA NA NA NA NA 413 NA NA NA NA NA NA NA 511 NA NA NA NA NA NA NA 382 NA NA NA NA NA NA NA
1475269200.0 124.1 313 NA NA NA NA NA NA NA 435 NA NA NA NA NA NA NA 483 NA NA NA NA NA NA NA 328 NA NA NA NA NA NA NA
1475269200.0 124.2 329 NA NA NA NA NA NA NA 453 NA NA NA NA NA NA NA 645 NA NA NA NA NA NA NA 399 NA NA NA NA NA NA NA
1475269200.0 124.4 332 NA NA NA NA NA NA NA 423 NA NA NA NA NA NA NA 486 NA NA NA NA NA NA NA 351 NA NA NA NA NA NA NA
1475269200.0 124.5 336 NA NA NA NA NA NA NA 428 NA NA NA NA NA NA NA 490 NA NA NA NA NA NA NA 365 NA NA NA NA NA NA NA
1475269200.0 124.6 288 NA NA NA NA NA NA NA 405 NA NA NA NA NA NA NA 478 NA NA NA NA NA NA NA 352 NA NA NA NA NA NA NA
1475269200.0 125.0 79 97 370 NA NA NA NA NA 160 209 451 NA NA NA NA NA 6488 826 1064 NA NA NA NA NA 2305 473 964 NA NA NA NA NA
1475269200.0 126.0 56 93 359 NA NA NA NA NA 110 194 450 NA NA NA NA NA 2639 743 925 NA NA NA NA NA 1279 439 843 NA NA NA NA NA
1475269200.0 127.0 54 92 356 NA NA NA NA NA 108 206 444 NA NA NA NA NA 2260 749 1008 NA NA NA NA NA 1045 423 934 NA NA NA NA NA
1475269200.0 128.0 49 86 351 NA NA NA NA NA 96 207 437 NA NA NA NA NA 1240 730 888 NA NA NA NA NA 788 427 818 NA NA NA NA NA
1475269200.0 129.0 51 92 362 NA NA NA NA NA 101 206 434 NA NA NA NA NA 563 337 380 NA NA NA NA NA 379 205 373 NA NA NA NA NA
1475269200.0 13.0 NA 93 359 0 NA NA NA NA NA 225 459 0 NA NA NA NA NA 704 1620 659 NA NA NA NA NA 415 956 705 NA NA NA NA
1475269200.0 130.0 61 92 349 NA NA NA NA NA 102 207 449 NA NA NA NA NA 1342 758 902 NA NA NA NA NA 806 426 824 NA NA NA NA NA
1475269200.0 1301.0 74 222 175 NA NA NA NA NA 126 331 252 NA NA NA NA NA 3166 1010 765 NA NA NA NA NA 2029 898 1157 NA NA NA NA NA
1475269200.0 1302.0 86 247 185 NA NA NA NA NA 138 344 251 NA NA NA NA NA 6646 792 716 NA NA NA NA NA 2435 486 641 NA NA NA NA NA
1475269200.0 1303.0 85 244 195 NA NA NA NA NA 135 354 258 NA NA NA NA NA 16181 1169 1331 NA NA NA NA NA 5584 679 1183 NA NA NA NA NA
1475269200.0 1306.0 NA 240 430 0 NA NA NA NA NA 344 523 0 NA NA NA NA NA 992 1681 2013 NA NA NA NA NA 694 1578 2030 NA NA NA NA
1475269200.0 1307.0 NA 230 191 48 0 NA NA NA NA 340 265 88 0 NA NA NA NA 1097 880 57 511 NA NA NA NA 664 832 59 520 NA NA NA
1475269200.0 1308.0 NA 220 193 49 0 NA NA NA NA 337 269 87 0 NA NA NA NA 923 807 55 508 NA NA NA NA 575 812 59 510 NA NA NA
1475269200.0 1309.0 NA 265 453 0 NA NA NA NA NA 394 537 0 NA NA NA NA NA 924 1249 1156 NA NA NA NA NA 548 965 1175 NA NA NA NA
1475269200.0 131.0 52 94 351 NA NA NA NA NA 100 210 451 NA NA NA NA NA 2368 762 969 NA NA NA NA NA 1069 429 876 NA NA NA NA NA
1475269200.0 1310.0 NA 252 446 0 NA NA NA NA NA 392 530 0 NA NA NA NA NA 820 1176 1090 NA NA NA NA NA 527 992 1109 NA NA NA NA
1475269200.0 1311.0 NA 244 439 0 67 NA NA NA NA 371 533 0 102 NA NA NA NA 703 1017 1228 85 NA NA NA NA 574 1156 1250 143 NA NA NA
1475269200.0 1312.0 NA 252 448 0 NA NA NA NA NA 393 547 0 NA NA NA NA NA 1515 2293 1807 NA NA NA NA NA 984 1927 1823 NA NA NA NA
1475269200.0 1313.0 NA 277 442 0 NA NA NA NA NA 360 535 0 NA NA NA NA NA 1574 2717 1788 NA NA NA NA NA 897 1974 1815 NA NA NA NA
1475269200.0 1314.0 NA 246 445 0 NA NA NA NA NA 369 539 0 NA NA NA NA NA 1189 1629 1867 NA NA NA NA NA 724 1422 1877 NA NA NA NA
1475269200.0 1315.0 NA 243 433 0 NA NA NA NA NA 354 519 0 NA NA NA NA NA 686 947 1064 NA NA NA NA NA 474 939 1077 NA NA NA NA
1475269200.0 1316.0 NA 250 436 0 NA NA NA NA NA 369 530 0 NA NA NA NA NA 1154 1894 2041 NA NA NA NA NA 850 2320 2068 NA NA NA NA
1475269200.0 1317.0 NA 251 431 0 NA NA NA NA NA 346 529 0 NA NA NA NA NA 1124 1901 1948 NA NA NA NA NA 785 1741 1955 NA NA NA NA
1475269200.0 1318.0 NA 241 436 0 NA NA NA NA NA 367 528 0 NA NA NA NA NA 1151 1844 1875 NA NA NA NA NA 765 1755 1887 NA NA NA NA
1475269200.0 1319.0 NA 239 423 0 NA NA NA NA NA 365 525 0 NA NA NA NA NA 1095 1744 1810 NA NA NA NA NA 752 1702 1848 NA NA NA NA
1475269200.0 132.0 70 92 369 NA NA NA NA NA 156 214 454 NA NA NA NA NA 8373 889 1259 NA NA NA NA NA 2759 501 1026 NA NA NA NA NA
1475269200.0 1320.0 NA 246 430 0 NA NA NA NA NA 342 529 0 NA NA NA NA NA 770 987 1064 NA NA NA NA NA 501 912 1076 NA NA NA NA
1475269200.0 1321.0 NA 239 428 0 NA NA NA NA NA 371 522 0 NA NA NA NA NA 1241 1866 1757 NA NA NA NA NA 758 1659 1774 NA NA NA NA
1475269200.0 1322.0 NA 244 442 0 NA NA NA NA NA 369 536 0 NA NA NA NA NA 1347 1847 1919 NA NA NA NA NA 1003 1680 1934 NA NA NA NA
1475269200.0 1323.0 NA 237 436 0 NA NA NA NA NA 355 523 0 NA NA NA NA NA 1052 1408 1797 NA NA NA NA NA 696 1357 1809 NA NA NA NA
1475269200.0 1324.0 NA 280 453 0 NA NA NA NA NA 372 536 0 NA NA NA NA NA 1728 2453 2020 NA NA NA NA NA 1247 2428 2034 NA NA NA NA
1475269200.0 1325.0 NA 262 453 0 82 NA NA NA NA 388 546 0 118 NA NA NA NA 604 759 783 86 NA NA NA NA 368 590 791 136 NA NA NA
1475269200.0 1325.1 NA 251 218 0 NA NA NA NA NA 396 276 0 NA NA NA NA NA 1259 634 335 NA NA NA NA NA 737 548 343 NA NA NA NA
1475269200.0 1325.2 NA 260 452 0 NA NA NA NA NA 392 547 0 NA NA NA NA NA 874 1226 1134 NA NA NA NA NA 538 1052 1182 NA NA NA NA
1475269200.0 1325.3 NA 253 208 0 NA NA NA NA NA 392 279 0 NA NA NA NA NA 1256 619 318 NA NA NA NA NA 739 523 325 NA NA NA NA
1475269200.0 1325.4 NA 257 442 0 NA NA NA NA NA 386 535 0 NA NA NA NA NA 868 1171 1137 NA NA NA NA NA 551 934 1154 NA NA NA NA
1475269200.0 1326.0 NA 252 444 0 NA NA NA NA NA 372 527 0 NA NA NA NA NA 1173 1776 2022 NA NA NA NA NA 737 1586 2033 NA NA NA NA
1475269200.0 1327.0 NA 247 435 0 NA NA NA NA NA 372 524 0 NA NA NA NA NA 1180 1787 1959 NA NA NA NA NA 751 1609 1976 NA NA NA NA
1475269200.0 1328.0 NA 256 442 0 NA NA NA NA NA 385 528 0 NA NA NA NA NA 1392 2310 2318 NA NA NA NA NA 897 1964 2844 NA NA NA NA
1475269200.0 1329.0 NA 246 435 0 NA NA NA NA NA 380 532 0 NA NA NA NA NA 1367 1681 1792 NA NA NA NA NA 1102 1496 1805 NA NA NA NA
1475269200.0 133.0 81 106 372 NA NA NA NA NA 161 217 472 NA NA NA NA NA 13925 1093 1537 NA NA NA NA NA 4331 663 1041 NA NA NA NA NA
1475269200.0 1330.0 NA 251 434 0 NA NA NA NA NA 380 524 0 NA NA NA NA NA 1483 2110 1869 NA NA NA NA NA 896 1913 1903 NA NA NA NA
1475269200.0 1331.0 NA 255 438 0 NA NA NA NA NA 380 522 0 NA NA NA NA NA 1276 1628 1835 NA NA NA NA NA 1104 1404 1846 NA NA NA NA
1475269200.0 1332.0 NA 256 443 0 NA NA NA NA NA 387 531 0 NA NA NA NA NA 1274 2116 2033 NA NA NA NA NA 809 1951 2060 NA NA NA NA
1475269200.0 1333.0 NA 246 442 0 NA NA NA NA NA 365 537 0 NA NA NA NA NA 1268 1994 1890 NA NA NA NA NA 836 1788 1928 NA NA NA NA
1475269200.0 1334.0 NA 255 445 0 NA NA NA NA NA 380 545 0 NA NA NA NA NA 723 1032 1089 NA NA NA NA NA 502 941 1114 NA NA NA NA
1475269200.0 1335.0 NA 242 435 0 NA NA NA NA NA 383 536 0 NA NA NA NA NA 1176 1825 1770 NA NA NA NA NA 767 1717 1823 NA NA NA NA
1475269200.0 1336.0 NA 263 456 0 NA NA NA NA NA 385 532 0 NA NA NA NA NA 2363 3616 1590 NA NA NA NA NA 1113 1831 1601 NA NA NA NA
1475269200.0 1337.0 NA 291 460 0 NA NA NA NA NA 381 552 0 NA NA NA NA NA 2227 3578 1926 NA NA NA NA NA 1383 2362 1939 NA NA NA NA
1475269200.0 1338.0 NA 266 441 0 NA NA NA NA NA 369 532 0 NA NA NA NA NA 841 1143 1130 NA NA NA NA NA 535 963 1154 NA NA NA NA
1475269200.0 1339.0 NA 257 454 0 NA NA NA NA NA 397 537 0 NA NA NA NA NA 1058 1588 1130 NA NA NA NA NA 611 1114 1146 NA NA NA NA
1475269200.0 134.0 NA 331 37 0 NA NA NA NA NA 411 72 0 NA NA NA NA NA 4175 10 12 NA NA NA NA NA 1782 12 14 NA NA NA NA
1475269200.0 134.701 NA 43 372 0 NA NA NA NA NA 91 448 0 NA NA NA NA NA 825 7608 696 NA NA NA NA NA 343 2866 714 NA NA NA NA
