Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476090000.0 16.0 NA 85 183 0 NA NA NA NA 240 391 0 NA NA NA NA 1903 1235 545 NA NA NA NA 2105 1340 594 NA NA NA
1476090000.0 18.0 NA 81 187 0 NA NA NA NA 240 391 0 NA NA NA NA 1879 801 535 NA NA NA NA 1974 897 555 NA NA NA
1476090000.0 19.0 NA 81 183 0 NA NA NA NA 240 391 0 NA NA NA NA 1915 867 486 NA NA NA NA 2015 995 560 NA NA NA
1476090000.0 200.0 NA 90 201 0 NA NA NA NA 242 416 0 NA NA NA NA 658 1081 593 NA NA NA NA 970 1166 616 NA NA NA
1476090000.0 202.0 NA 94 211 0 NA NA NA NA 242 426 0 NA NA NA NA 759 1350 603 NA NA NA NA 826 1489 632 NA NA NA
1476090000.0 203.0 NA 88 200 0 NA NA NA NA 242 415 0 NA NA NA NA 691 1076 526 NA NA NA NA 1045 1258 577 NA NA NA
1476090000.0 205.0 NA 89 197 0 NA NA NA NA 242 413 0 NA NA NA NA 668 1047 576 NA NA NA NA 1046 1123 627 NA NA NA
1476090000.0 21.0 NA 84 191 0 NA NA NA NA 240 392 0 NA NA NA NA 1824 1236 545 NA NA NA NA 2067 1390 589 NA NA NA
1476090000.0 250199.0 157 NA NA NA NA NA NA 312 NA NA NA NA NA NA 4606 NA NA NA NA NA NA 5621 NA NA NA NA NA NA
1476090000.0 250403.0 246 0 100 NA NA NA NA 479 0 230 NA NA NA NA 1225 290 333 NA NA NA NA 1467 302 392 NA NA NA NA
1476090000.0 250405.0 243 0 100 NA NA NA NA 475 0 230 NA NA NA NA 1201 302 324 NA NA NA NA 1434 320 381 NA NA NA NA
1476090000.0 25200.0 NA 214 307 0 NA NA NA NA 424 554 0 NA NA NA NA 3006 3215 1396 NA NA NA NA 3842 3547 1448 NA NA NA
1476090000.0 25203.0 NA 215 311 0 NA NA NA NA 424 556 0 NA NA NA NA 3050 3266 1382 NA NA NA NA 3627 3586 1429 NA NA NA
1476090000.0 25204.0 NA 219 309 0 NA NA NA NA 432 559 0 NA NA NA NA 3068 3577 1364 NA NA NA NA 5303 4352 1408 NA NA NA
1476090000.0 25205.0 NA 214 313 0 NA NA NA NA 434 558 0 NA NA NA NA 3151 3398 1312 NA NA NA NA 9111 3787 1404 NA NA NA
1476090000.0 25206.0 NA 211 311 0 NA NA NA NA 420 551 0 NA NA NA NA 3277 3896 1218 NA NA NA NA 9195 4452 1277 NA NA NA
1476090000.0 25207.0 NA 211 307 0 NA NA NA NA 415 546 0 NA NA NA NA 2635 2720 1345 NA NA NA NA 3222 3075 1396 NA NA NA
1476090000.0 25208.0 NA 221 312 0 NA NA NA NA 426 563 0 NA NA NA NA 3642 5315 1371 NA NA NA NA 4640 5681 1416 NA NA NA
1476090000.0 25210.0 67 217 311 0 NA NA NA 226 417 538 0 NA NA NA 3752 1233 1662 1377 NA NA NA 4647 1798 1832 1415 NA NA NA
1476090000.0 25213.0 57 218 310 0 NA NA NA 225 426 555 0 NA NA NA 7400 3147 2953 811 NA NA NA 9282 3521 3738 817 NA NA NA
1476090000.0 27.0 NA 84 191 0 NA NA NA NA 249 392 0 NA NA NA NA 1965 1398 555 NA NA NA NA 2239 1583 588 NA NA NA
1476090000.0 4.23 NA 64 208 0 NA NA NA NA 177 400 0 NA NA NA NA 125 2134 613 NA NA NA NA 226 2440 642 NA NA NA
1476090000.0 4.24 NA 53 205 0 NA NA NA NA 164 396 0 NA NA NA NA 98 2323 564 NA NA NA NA 198 2480 616 NA NA NA
1476090000.0 4.25 NA 58 203 0 NA NA NA NA 165 394 0 NA NA NA NA 94 2194 543 NA NA NA NA 211 2473 568 NA NA NA
1476090000.0 4.28 NA 60 207 0 NA NA NA NA 180 400 0 NA NA NA NA 114 1653 1087 NA NA NA NA 470 1828 1143 NA NA NA
1476090000.0 4.43 NA 36 203 0 NA NA NA NA 146 396 0 NA NA NA NA 119 3287 538 NA NA NA NA 231 3579 573 NA NA NA
1476090000.0 4.6 NA 205 0 NA NA NA NA NA 400 0 NA NA NA NA NA 1636 311 NA NA NA NA NA 2041 382 NA NA NA NA
1476090000.0 4001.0 NA 94 210 NA NA NA NA NA 242 426 NA NA NA NA NA 691 1053 NA NA NA NA NA 1129 1133 NA NA NA NA
1476090000.0 4002.0 NA 84 188 NA NA NA NA NA 240 391 NA NA NA NA NA 2215 1451 NA NA NA NA NA 2289 1800 NA NA NA NA
1476090000.0 4003.0 NA 85 191 NA NA NA NA NA 249 391 NA NA NA NA NA 1747 1085 NA NA NA NA NA 1808 1104 NA NA NA NA
